,date,real_index,fin_index,decoupling
0,2004-01-01,-2.2007360303739847,0.3611259306666783,2.561861961040663
1,2004-01-01,-2.1183017990386497,0.3611259306666783,2.479427729705328
2,2004-02-01,-1.7586473889835326,0.4939507566331775,2.25259814561671
3,2004-03-01,-1.6698237035380217,0.8072224527605204,2.477046156298542
4,2004-04-01,-1.3722812841963234,0.5031486560825165,1.87542994027884
5,2004-05-01,-1.281579165956083,0.4042266735723305,1.6858058395284135
6,2004-06-01,-1.1471816190742774,0.311993915026294,1.4591755341005714
7,2004-07-01,-1.0786421134119346,0.1141280999485806,1.1927702133605151
8,2004-08-01,-1.0678140973761974,0.1752157407143922,1.2430298380905895
9,2004-09-01,-1.0811303498554008,0.2754197978215494,1.3565501476769501
10,2004-11-01,-0.5493548052011564,0.6187904033528238,1.1681452085539803
11,2004-12-01,-0.6513747537376985,0.63136674003194,1.2827414937696386
12,2005-01-01,-0.55349677211926,0.5935146514118345,1.1470114235310944
13,2005-01-01,-0.1352162296888309,0.5935146514118345,0.7287308811006654
14,2005-02-01,-0.3307719125180677,0.730793883935608,1.0615657964536758
15,2005-03-01,-0.0471588584681272,0.5520081201864384,0.5991669786545656
16,2005-04-01,-0.3251617848276912,0.6536007067733898,0.978762491601081
17,2005-05-01,0.0211754060195791,0.7489690458823747,0.7277936398627955
18,2005-06-01,0.2460842321584343,0.7329090977566851,0.4868248655982508
19,2005-07-01,0.0547918901221949,0.9858596474723814,0.9310677573501865
20,2005-08-01,0.4150615982953979,0.7633691073271237,0.3483075090317258
21,2005-09-01,0.1952603883251907,0.8510327260234645,0.6557723376982738
22,2005-11-01,0.7647844774505593,0.6028756448281664,-0.16190883262239297
23,2005-12-01,0.916176629898346,0.6879507699445244,-0.2282258599538216
24,2006-01-01,0.7296414844695501,0.7565846953910572,0.026943210921507088
25,2006-01-01,0.4018318226793718,0.7565846953910572,0.35475287271168543
26,2006-02-01,0.2282288720976427,0.5479265850432253,0.31969771294558263
27,2006-03-01,0.2529562614746575,0.663945173474244,0.4109889119995865
28,2006-04-01,0.359297501009562,0.8420843218119297,0.48278682080236773
29,2006-05-01,0.5059633531694955,0.7127456999426242,0.20678234677312868
30,2006-06-01,0.1118438044251435,0.7154323195786804,0.6035885151535368
31,2006-07-01,-0.2522190653836575,0.5450811546362738,0.7973002200199313
32,2006-08-01,0.3085050352301619,0.6318815871238536,0.3233765518936917
33,2006-09-01,0.5086006943570246,0.5691417954634278,0.060541101106403206
34,2006-11-01,0.1609536454835806,0.5851957736565282,0.4242421281729476
35,2006-12-01,0.0209725679909483,0.4145289121212409,0.39355634413029256
36,2007-01-01,0.1469998350610074,0.1594460601836592,0.01244622512265181
37,2007-01-01,0.477572944547551,0.1594460601836592,-0.3181268843638918
38,2007-02-01,0.9170347855324034,0.2567817960809266,-0.6602529894514768
39,2007-03-01,0.2414973460534855,0.2841762733690948,0.042678927315609294
40,2007-04-01,0.6101016916673415,0.2513940169428083,-0.35870767472453324
41,2007-05-01,0.4855034005614523,0.4745678062226062,-0.01093559433884611
42,2007-06-01,0.396417596248278,0.5415218214500054,0.1451042252017274
43,2007-07-01,1.35418843065573,0.6942380069811351,-0.6599504236745948
44,2007-08-01,0.7098858677786861,0.5594143328498786,-0.1504715349288075
45,2007-09-01,0.2795856443068014,0.5995895672446739,0.32000392293787255
46,2007-11-01,0.5609389464521727,0.3875824781187194,-0.1733564683334533
47,2007-12-01,0.7311132111780907,0.2469015356553507,-0.48421167552274
49,2008-01-01,0.9370672655469058,-0.0045954582316965,-0.9416627237786023
48,2008-01-01,0.4860695083635243,-0.0045954582316965,-0.4906649665952208
50,2008-02-01,0.6077966729719314,0.0199773777781858,-0.5878192951937457
51,2008-03-01,1.065260280194552,-0.0820049866600659,-1.147265266854618
52,2008-04-01,0.8344411347862154,-0.1207734881134938,-0.9552146228997092
53,2008-05-01,0.4930699960040201,-0.305794867979386,-0.7988648639834061
54,2008-06-01,0.3103989903280614,-0.545270101497354,-0.8556690918254154
55,2008-07-01,0.5045518287436744,-0.6465694230298452,-1.1511212517735196
56,2008-08-01,-0.0298739966028506,-0.9821368273297136,-0.952262830726863
57,2008-09-01,0.3836091477002015,-1.5500568548115847,-1.9336660025117862
58,2008-11-01,-1.283115539937081,-3.21176079904144,-1.928645259104359
59,2008-12-01,-1.5788160196055774,-2.9764183827597264,-1.397602363154149
60,2009-01-01,-1.7712220890573622,-2.8055884621582248,-1.0343663731008625
61,2009-01-01,-1.1109797965617731,-2.8055884621582248,-1.6946086655964516
62,2009-02-01,-1.4058260912307643,-3.0504190202399504,-1.644592929009186
63,2009-03-01,-1.1677313993154972,-2.0785669812761647,-0.9108355819606675
64,2009-04-01,-1.011100844863842,-1.5464105405229682,-0.5353096956591261
65,2009-05-01,-0.841958823395582,-1.1848168141934523,-0.34285799079787027
66,2009-06-01,0.1961864458132436,-0.9621097426804788,-1.1582961884937224
67,2009-07-01,-0.5305725835380982,-0.8599147396138215,-0.32934215607572326
68,2009-08-01,-0.3606681200577484,-0.5696321861713152,-0.20896406611356677
69,2009-09-01,0.32672607505675,0.0477354454402733,-0.2789906296164767
70,2009-11-01,1.148930507097991,0.9525639769240244,-0.19636653017396655
71,2009-12-01,1.716909992383364,0.5386153639277936,-1.1782946284555704
72,2010-01-01,0.9992478892936832,0.7269553632256455,-0.2722925260680378
73,2010-01-01,0.916349802529663,0.7269553632256455,-0.18939443930401756
74,2010-02-01,1.2243809578453932,1.1235409211177008,-0.10084003672769248
