,날짜,credit_spread,kospi,exchange,fin_index
12,2005-01-01,0.4988137130938294,0.1311480889552923,1.437991743692216,0.6893178485804459
13,2005-02-01,0.544879344913731,0.3301234721783752,1.7163990484998797,0.8638006218639953
14,2005-03-01,0.5295241343070964,0.1200286677698975,1.2785190569593023,0.6426906196787655
15,2005-04-01,0.4988137130938294,-0.0645646423628528,1.746783000077714,0.7270106902695636
16,2005-05-01,0.4066824494540295,0.5889566060097895,1.5273024684888996,0.8409805079842396
17,2005-06-01,0.3606168176341285,0.8880308415912607,1.202676623671207,0.8171080942988654
18,2005-07-01,0.2684855539943265,1.6898242440581603,1.4263514264360546,1.128220408162847
19,2005-08-01,0.207064711567793,1.1305894090016704,1.150356876566403,0.8293369990452888
20,2005-09-01,0.1609990797478914,1.5279995783127471,1.0988835480902228,0.9292940687169539
21,2005-10-01,0.1149334479279904,1.2704992142084286,0.8157902078328417,0.7337409566564203
22,2005-11-01,0.053512605501457,1.57960424380039,0.2125525982530641,0.6152231491849703
23,2005-12-01,0.0228021842881899,1.7808349494305808,0.3796223974417703,0.7277531770535136
24,2006-01-01,-0.0386186581383435,1.6559345598969986,0.7826790082167433,0.7999983033251329
25,2006-02-01,-0.0386186581383442,1.159694080243988,0.4481201386949511,0.5230651869335315
26,2006-03-01,0.0995782373213586,1.3430089336581363,0.5714972024072067,0.6713614577955672
27,2006-04-01,0.1917095009611598,1.8387047163718455,0.6663707796099162,0.8989283323143072
28,2006-05-01,0.2070647115677937,1.1668224604354285,0.7442732056747838,0.7060534592260019
29,2006-06-01,0.1609990797478914,0.8944306785798646,0.988108897351207,0.6811795518929876
30,2006-07-01,0.1609990797478914,0.4276302791992385,0.8008938151941993,0.4631743913804431
31,2006-08-01,0.130288658534625,0.7553378340180373,0.8848168622332651,0.5901477849286425
32,2006-09-01,0.09957823732136,0.2366535295175008,1.0922710096619737,0.4761675921669448
33,2006-10-01,0.1149334479279932,0.4710658922486753,1.1340014569688357,0.5733335990485015
34,2006-11-01,0.0995782373213586,0.1517722286557066,1.2157882627679135,0.48904624291499293
35,2006-12-01,0.09957823732136,-0.1403673585209517,0.9130037837964564,0.29073822086562157
36,2007-01-01,0.1917095009611591,-0.4726309893732321,0.3010150844217508,0.006697865336559268
37,2007-02-01,0.130288658534625,-0.1714614043725771,0.4150711005839321,0.12463278491532666
38,2007-03-01,-0.0693290793516106,-0.0083185007256152,0.430398831973754,0.11758375063217608
39,2007-04-01,-0.1768155535980444,0.0731533781938428,0.2390966867869487,0.04514483712758236
40,2007-05-01,-0.1921707642046803,0.9178158338234362,0.2993982472807717,0.3416811056331759
41,2007-06-01,-0.1921707642046776,1.123709036424709,0.3737650691541623,0.4351011137913979
42,2007-07-01,-0.1768155535980457,1.6192333192952046,0.4912862886534769,0.6445680181168786
43,2007-08-01,-0.146105132384778,1.2618464295416971,0.3497975462703468,0.48851294780908866
44,2007-09-01,-0.2075259748113135,1.3825225071782414,0.4430816727442865,0.5393594017037382
45,2007-10-01,-0.391788502090916,1.696136091982336,0.5596811345610047,0.6213429081508083
46,2007-11-01,-0.4532093445174487,1.0672175498998846,0.1955788528695957,0.26986235275067716
47,2007-12-01,-0.7449583460434878,1.036691588800797,0.0414365157697176,0.11105658617567564
48,2008-01-01,-1.3131011384889242,0.5377635028323899,0.0811274428215054,-0.23140339761167628
49,2008-02-01,-1.2977459278822925,0.5916306172080341,0.1346563358962956,-0.1904863249259876
50,2008-03-01,-0.8831552415031865,0.4496029085549272,-0.4105441160712977,-0.28136548300651903
51,2008-04-01,-0.8217343990766537,0.4934241087336547,-0.646170407044731,-0.32482689912924334
52,2008-05-01,-0.8524448202899187,0.0846322370092999,-0.93038472477951,-0.5660657693533763
53,2008-06-01,-0.8985104521098211,-0.52888851279422,-1.192864252680808,-0.873421072528283
54,2008-07-01,-0.9752865051429884,-1.274903429883283,-0.8639908251054202,-1.0380602533772305
55,2008-08-01,-1.420587612735362,-1.5049412517725858,-1.3967434553111202,-1.4407574399396894
56,2008-09-01,-1.8351782991144667,-1.7804669190082072,-2.6832485763331504,-2.099631264818608
57,2008-10-01,-3.5396066764507874,-3.3578299282390045,-3.4544886130252856,-3.450641739238359
58,2008-11-01,-4.568405787095235,-3.131354648476882,-4.597759164520162,-4.0991732000307595
59,2008-12-01,-5.443652791673342,-2.893090914485572,-2.9137133132659963,-3.7501523398083036
60,2009-01-01,-4.1538151007161295,-1.9727767798289035,-3.733420558501604,-3.2866708130155455
61,2009-02-01,-3.2017920431048505,-2.6643627010245723,-4.836554478918826,-3.567569741016083
62,2009-03-01,-2.265124196100205,-2.0235738258023006,-3.1942098303201503,-2.494302617407552
63,2009-04-01,-1.528074086981796,-1.739807737892599,-2.335896432881173,-1.8679260859185227
64,2009-05-01,-0.6067614505837848,-1.716553306817668,-1.9283288602587376,-1.4172145392200635
65,2009-06-01,-0.2228811854179467,-1.2448651475651722,-1.8394691145102613,-1.1024051491644602
66,2009-07-01,-0.5299853975506161,-0.448260027861171,-1.7975277868074058,-0.9252577374063976
67,2009-08-01,0.0228021842881912,0.0437017880507003,-1.2771302750972924,-0.4035421009194669
68,2009-09-01,0.7137866615867002,0.3753020318410783,0.3637979376026393,0.48429554367680594
69,2009-10-01,2.648543198022524,1.3852903306209177,0.8895853873854628,1.6411396386763013
70,2009-11-01,3.80018399352004,1.4724333702707058,2.457030132892949,2.576549165561232
71,2009-12-01,5.013245631444086,1.6417690333541164,0.910982334663338,2.521998999820513
