,date,price,kospi_log_yoy,kospi_log_yoy_z
20,1984-01-01,124.08,0.04795637260525787,-0.09424669129844097
21,1984-02-01,129.66,0.048674483678817104,-0.09173091850369218
22,1984-03-01,133.35,0.1071535649466746,0.11314000903457316
23,1984-04-01,135.6,0.031158901777282644,-0.1530936046598471
24,1984-05-01,130.48,0.036844629631861636,-0.1331746812765895
25,1984-06-01,130.28,0.062064866330820756,-0.044820124856937066
26,1984-07-01,134.54,0.07322786648423829,-0.005712564581405459
27,1984-08-01,136.11,0.1358536394163874,0.21368555027000177
28,1984-09-01,134.14,0.1306600582472024,0.19549077414992916
29,1984-10-01,129.82,0.06689326590303413,-0.027904696682650394
30,1984-11-01,135.54,0.14172269473561716,0.23424672840336755
31,1984-12-01,142.46,0.16153668006778776,0.3036614569733689
32,1985-01-01,138.9,0.1128277308920147,0.13301842735142871
33,1985-02-01,134.93,0.03984048569584697,-0.12267923919211948
34,1985-03-01,136.46,0.023054280759254198,-0.1814866845323627
35,1985-04-01,134.15,-0.01075079863466133,-0.2999166909685755
36,1985-05-01,134.09,0.02729125797879295,-0.16664319803931288
37,1985-06-01,136.58,0.04722454312491031,-0.09681052406031199
38,1985-07-01,137.38,0.020889256188276306,-0.18907145813658088
39,1985-08-01,136.49,0.0027879695241219693,-0.2524860554271104
40,1985-09-01,138.91,0.034942210737706425,-0.13983946319453186
41,1985-10-01,140.89,0.08183056845986325,0.024425452208031766
42,1985-11-01,150.16,0.10243459257028587,0.09660793933002403
43,1985-12-01,163.37,0.13695630848820883,0.21754855274223767
44,1986-01-01,160.42,0.14404112617848064,0.24236893535045903
45,1986-02-01,175.91,0.2652163751681176,0.6668845932055725
46,1986-03-01,199.76,0.38108511458424044,1.0728098506175439
47,1986-04-01,202.91,0.41380395410789905,1.1874344113298532
48,1986-05-01,231.06,0.5441662007633212,1.6441350606772287
49,1986-06-01,243.36,0.5776313049780395,1.761374025311962
50,1986-07-01,273.75,0.6894644723449748,2.1531613829666236
51,1986-08-01,264.64,0.662119059967222,2.0573616563586437
52,1986-09-01,253.45,0.6013403235090609,1.8444343010920132
53,1986-10-01,240.79,0.5359457402679562,1.6153361580617258
54,1986-11-01,268.98,0.58293563511715,1.7799567904992468
55,1986-12-01,272.61,0.5120246353369486,1.5315328757818907
56,1987-01-01,310.22,0.6594863472578263,2.048138421604918
57,1987-02-01,334.98,0.6440983279395107,1.994229267726797
58,1987-03-01,405.13,0.7070913572838267,2.2149139992652955
59,1987-04-01,358.63,0.569528685364924,1.7329879570010511
60,1987-05-01,387.99,0.5183021490403901,1.5535250142898036
61,1987-06-01,411.76,0.525898826833517,1.5801386065683587
62,1987-07-01,485.48,0.5729228111074498,1.744878665165014
63,1987-08-01,474.01,0.5828580066836242,1.7796848332653956
64,1987-09-01,485.35,0.6497037152398768,2.013866732449903
65,1987-10-01,509.05,0.7486210592200626,2.3604058293625108
66,1987-11-01,475.59,0.5699191111278434,1.7343557433350698
67,1987-12-01,525.11,0.655565562078734,2.034402656970728
68,1988-01-01,633.58,0.7141045511488393,2.2394834607031333
69,1988-02-01,612.35,0.603233185916972,1.8510656035817843
70,1988-03-01,656.47,0.4826689925659924,1.428690669088856
71,1988-04-01,647.18,0.5903332465737599,1.8058729897251122
72,1988-05-01,717.35,0.6145843004491365,1.8908321886987058
73,1988-06-01,702.83,0.5346743864546726,1.6108821989825177
74,1988-07-01,721.08,0.39561199589567675,1.1237021626030959
