,date,interest,kospi,exchange,fin_index
0,2011-01-01,0.2020937678820753,0.6342356198350345,-0.4538200866225817,0.12750310036484272
1,2011-02-01,0.1442195755020279,0.4234050159634009,-0.4194828103626678,0.049380593700920315
2,2011-03-01,0.1828023704220598,0.5039552330118218,-0.441994139489097,0.0815878213149282
3,2011-04-01,0.1828023704220598,0.5442016619472397,-0.4752128257840041,0.0839304021950985
4,2011-05-01,0.1442195755020288,0.6713858241274901,-1.1128430106085858,-0.09907920365968896
5,2011-06-01,0.0863453831219814,0.4827067455477071,-1.3646400218264687,-0.2651959643855934
6,2011-07-01,0.0091797932819176,0.4128184325366951,-1.1685615865689722,-0.24885445358345318
7,2011-08-01,0.0284711907419331,0.0035295222038297,-1.198392574807064,-0.3887972872871004
8,2011-09-01,0.1635109729620443,-0.4607449669455902,0.1667726807910204,-0.0434871043975085
9,2011-10-01,0.2213851653420917,-0.2140630647819438,-0.245012807519869,-0.07923023565324037
10,2011-11-01,0.2792593577221399,-0.3689257122568261,-0.2756251748448238,-0.12176384312650333
11,2011-12-01,0.3371335501021882,-0.6698367771593963,0.1518600648740782,-0.06028105406104329
12,2012-01-01,0.3178421526421718,-0.4606250491555741,-0.0954013874784419,-0.07939476133061474
13,2012-02-01,0.2213851653420917,-0.1016895561836655,-0.1908278062808721,-0.023710732374148627
14,2012-03-01,0.202093767882077,-0.4198328373976212,0.1420313602765898,-0.025235903079651456
15,2012-04-01,0.0863453831219805,-0.6156582993342544,0.353392347713559,-0.05864018949957165
16,2012-05-01,-0.1451513863982107,-0.7888361771556304,0.6578625194409162,-0.09204168137097495
17,2012-06-01,-0.24160837369829,-0.6998704109702837,0.4549855792825271,-0.16216440179534888
18,2012-07-01,-0.2223169762382736,-0.7012127379528862,0.4763038016789063,-0.14907530417075118
19,2012-08-01,-0.2608997711583064,-0.2159578379686243,0.4078099725814608,-0.02301587884848999
20,2012-09-01,-0.3959395533784176,0.1597868214248027,-0.6701195307583571,-0.30209075423732396
21,2012-10-01,-0.3573567584583857,-0.2566971660369525,-0.3214990703963807,-0.31185099829723967
22,2012-11-01,-0.3573567584583857,-0.1039638262274802,-0.6129690394248513,-0.35809654137023905
23,2012-12-01,-0.4923965406784977,0.0519445164703843,-0.906926124461296,-0.4491260495564698
24,2013-01-01,-0.4923965406784968,-0.251254266348379,-0.4508321685984856,-0.3981609918751205
25,2013-02-01,-0.6660191178186408,-0.2687473285614317,-0.4260840420264725,-0.4536168294688483
26,2013-03-01,-0.6853105152786563,-0.2782054266839599,-0.3057651192860357,-0.42309368708288403
27,2013-04-01,-0.6660191178186399,-0.2942862971257048,-0.3706739094501322,-0.44365977479815893
28,2013-05-01,-0.6467277203586244,0.0250974210820671,-0.5242209418999831,-0.38195041372551347
29,2013-06-01,-0.6467277203586244,-0.2447051384026361,-0.1388026345150358,-0.3434118310920988
30,2013-07-01,-0.4538137457584658,-0.2031128235741429,-0.199847492512318,-0.2855913539483089
31,2013-08-01,-0.6081449254385926,-0.2234111505624934,-0.3328577652495336,-0.3881379470835398
32,2013-09-01,-0.6081449254385926,-0.2609372124411649,-0.4654660692341082,-0.44484940237128856
33,2013-10-01,-0.5502707330585451,-0.0524080850932635,-0.3848690265925664,-0.32918261491479167
34,2013-11-01,-0.5309793355985287,-0.0649716214368922,-0.3417096380812088,-0.31255353170554323
35,2013-12-01,-0.5521998728045465,-0.2372742712431779,-0.2600633253756727,-0.3498458231411324
36,2014-01-01,-0.5367667548365337,-0.2995747671153924,-0.2014661451116335,-0.34593588902118655
37,2014-02-01,-0.538695894582536,-0.3435773040651336,-0.2923712807653847,-0.39154815980435137
38,2014-03-01,-0.532908475344531,-0.2961058709053923,-0.5235456550392842,-0.45085333376306913
39,2014-04-01,-0.5348376150905324,-0.2661083612960311,-0.7144069532482498,-0.5051176432116044
40,2014-05-01,-0.538695894582536,-0.272931473309535,-1.055912048644439,-0.6225131388455033
41,2014-06-01,-0.5464124535665414,-0.0103934862819029,-1.2184567254816014,-0.5917542217766819
42,2014-07-01,-0.565703851026557,0.0225309680594285,-0.9340195605121542,-0.4923974811597609
43,2014-08-01,-0.6158614844225989,-0.0127788794035465,-0.9449318051664444,-0.5245240563308632
44,2014-09-01,-0.6255071831526067,-0.2219088302689401,-0.3034053695182817,-0.3836071276466095
45,2014-10-01,-0.6737356768026462,-0.3774353557320135,-0.0464425479157341,-0.36587119348346464
46,2014-11-01,-0.7277515896906909,-0.3738112102951135,0.3034524588404769,-0.26603678038177586
47,2014-12-01,-0.7489721268967087,-0.4331293739365971,0.2155687430574492,-0.3221775859252855
48,2015-01-01,-0.7489721268967096,-0.2476470496780477,0.0268981268890424,-0.3232403498952383
49,2015-02-01,-0.8280668564827747,-0.251988262034003,0.1386925739601483,-0.3137875148522098
50,2015-03-01,-0.8531456731807947,-0.1658123762676331,0.2100649699373951,-0.2696310265036776
51,2015-04-01,-0.8801536296248175,0.0212884659659528,0.2228585335272313,-0.2120022100438778
52,2015-05-01,-0.8975158873388313,-0.0578826767886921,0.6203266481820624,-0.11169063864848698
53,2015-06-01,-0.899445027084833,-0.1385020500270347,0.7532155355886812,-0.0949105138410622
54,2015-07-01,-0.9283821232748573,-0.3406790816314286,0.974435754812954,-0.09820848336444399
55,2015-08-01,-0.8878701886088238,-0.4843192794493363,1.2176956464701432,-0.05149794052933898
56,2015-09-01,-0.7914132013087442,-0.3630260075430776,0.8876391450834419,-0.08893335458945999
57,2015-10-01,-0.7142476114686804,-0.1481411486461777,0.398277661862743,-0.1547036994173717
