통계표,계정항목,단위,변환,2003/Q1,2003/Q2,2003/Q3,2003/Q4,2004/Q1,2004/Q2,2004/Q3,2004/Q4,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4,2025/Q1,2025/Q2,2025/Q3
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    펄프, 종이 및 종이제품","십억원","원자료","3,035.9","3,157.7","3,180.0","3,148.3","3,238.4","3,240.1","3,152.4","3,239.6","3,265.0","3,296.9","3,183.9","3,277.6","3,301.9","3,287.8","3,330.8","3,359.3","3,363.7","3,505.8","3,682.5","3,777.8","3,901.3","4,182.2","4,716.9","4,888.0","4,902.2","4,771.1","4,800.8","4,725.0","4,843.1","4,905.1","5,070.7","4,967.3","5,194.4","5,313.8","5,481.1","5,393.6","5,468.1","5,458.9","5,458.9","5,345.2","5,420.9","5,483.1","5,615.4","5,706.4","5,883.0","6,171.3","6,247.0","6,257.6","6,335.8","6,431.9","6,472.7","6,364.0","6,501.4","6,592.9","6,730.9","6,635.5","6,695.9","6,808.6","7,008.6","6,877.9","6,930.4","6,904.6","6,884.9","6,890.5","6,836.7","6,818.5","6,494.6","6,631.4","6,922.9","7,072.2","7,103.0","7,180.0","7,311.9","7,466.4","7,862.7","7,857.8","8,052.3","8,135.6","8,327.3","8,397.9","8,509.6","8,675.3","8,784.3","8,673.3","8,895.3","9,299.3","9,509.7","9,505.1","9,606.2","9,733.7","9,825.0"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    인쇄 및 기록매체","십억원","원자료","1,325.1","1,338.0","1,337.5","1,379.0","1,413.6","1,416.9","1,447.8","1,445.6","1,432.5","1,435.6","1,448.9","1,463.0","1,458.1","1,456.6","1,507.5","1,540.3","1,577.9","1,649.1","1,738.6","1,754.4","2,578.5","2,699.9","2,756.0","2,762.9","2,841.5","2,894.8","3,015.5","3,005.0","3,017.4","3,030.4","3,041.5","3,085.9","3,125.9","3,151.2","3,159.6","3,143.0","3,204.1","3,207.7","3,265.3","3,257.7","3,316.8","3,359.1","3,414.8","3,399.8","3,415.9","3,488.3","3,541.8","3,515.8","3,524.8","3,516.5","3,598.2","3,647.3","3,691.2","3,722.2","3,807.9","3,848.3","3,889.0","3,971.2","4,014.7","4,016.8","4,062.6","4,093.2","4,195.5","4,208.6","4,240.0","4,422.6","4,462.5","4,511.8","4,547.5","4,635.6","4,703.5","4,788.5","4,852.1","4,803.0","5,096.0","5,123.0","5,230.2","5,293.0","5,207.7","5,237.8","5,259.3","5,243.0","5,271.5","5,304.6","5,344.5","5,441.1","5,474.4","5,497.6","5,556.5","5,558.7","5,588.3"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    코크스, 연탄 및 석유정제품","십억원","원자료","733.3","743.4","723.1","656.8","667.2","625.6","566.1","545.8","538.7","568.0","645.7","865.7","731.9","412.9","433.8","422.4","421.4","699.3","702.3","778.9","1,175.4","1,004.8","1,307.4","1,562.0","1,487.6","1,562.7","1,639.7","1,755.9","1,838.0","1,856.0","1,845.1","1,718.8","2,397.8","2,584.9","2,293.9","2,403.0","2,419.5","2,423.6","2,336.6","2,232.3","2,217.2","2,196.0","2,146.7","2,039.8","1,991.5","2,140.2","2,230.9","1,976.7","1,916.8","1,885.5","1,539.0","1,845.6","1,931.1","1,953.7","2,084.5","2,167.7","2,139.0","2,133.4","2,165.9","2,330.1","2,422.5","2,432.8","2,462.0","2,551.8","2,502.8","2,471.9","2,633.7","2,640.4","3,271.9","2,672.5","3,146.0","2,910.3","3,193.2","3,582.2","3,892.1","3,986.9","4,349.0","4,479.9","4,243.1","4,902.4","5,190.0","4,960.3","5,756.4","5,345.5","5,199.6","5,193.5","5,042.7","6,440.2","6,539.0","6,292.2","5,406.7"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    화학제품 및 의료용 제품","십억원","원자료","10,542.9","10,634.9","10,845.8","9,885.1","10,529.9","10,517.0","10,553.6","10,104.3","10,163.7","10,222.6","10,295.6","10,317.5","10,606.2","10,792.9","10,778.1","10,630.8","11,054.6","12,391.2","13,202.3","13,183.4","14,036.7","15,457.7","17,525.1","17,926.0","18,058.6","17,909.5","17,910.5","16,912.4","18,365.3","18,743.8","19,443.2","18,778.5","19,808.9","20,816.5","21,843.3","21,570.4","23,146.1","24,194.9","23,950.8","23,405.5","24,248.0","24,633.2","25,168.8","24,772.3","25,921.8","26,076.9","26,570.1","26,908.9","27,885.4","27,921.5","28,544.6","28,437.3","28,436.4","27,945.4","27,585.7","27,058.1","26,946.7","26,828.5","27,032.5","27,222.5","27,968.8","28,894.0","28,966.9","28,369.7","28,636.4","28,837.6","28,687.7","28,453.2","30,935.8","33,181.4","32,575.4","32,659.9","32,866.8","33,596.6","34,293.3","35,480.3","37,575.4","39,459.3","41,396.1","41,808.1","44,510.3","46,935.3","49,254.1","48,585.1","51,598.1","53,417.5","55,136.5","54,400.5","56,030.2","56,647.2","57,211.0"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    고무제품 및 플라스틱 제품","십억원","원자료","5,474.6","5,726.4","5,995.7","5,834.4","6,079.3","6,199.0","6,446.4","6,334.0","6,435.8","6,583.8","6,640.7","7,013.6","7,201.3","7,460.6","7,588.2","7,756.8","7,929.8","8,342.2","8,770.0","8,995.4","9,586.3","10,164.1","10,570.8","10,523.2","10,826.8","10,841.0","11,102.9","10,883.5","11,100.3","11,500.6","11,735.5","11,675.5","12,235.0","12,886.9","13,196.8","12,886.9","13,490.3","13,757.8","14,092.7","13,785.7","14,353.3","14,517.5","14,822.1","15,152.1","15,809.9","16,353.7","16,435.5","16,938.0","17,781.7","18,170.5","18,371.4","18,428.1","18,890.1","19,109.5","19,286.2","19,194.7","19,579.6","19,735.7","20,259.9","20,223.3","20,640.1","21,039.4","21,290.1","21,538.9","21,907.9","22,232.0","22,353.5","22,022.3","22,248.8","22,831.3","23,310.7","23,348.1","23,724.2","24,394.6","24,736.1","24,866.9","25,418.7","26,266.2","26,820.8","26,727.4","26,941.0","27,058.2","27,049.0","26,812.1","27,121.6","27,110.9","27,262.7","27,392.7","27,354.6","27,448.1","27,637.0"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    비금속광물제품","십억원","원자료","6,182.5","6,429.0","6,415.0","6,222.1","6,371.0","6,323.7","6,333.9","6,164.8","6,141.9","6,181.1","6,137.0","5,826.7","5,802.6","6,139.5","6,007.2","6,158.6","6,289.4","6,373.3","6,550.8","6,991.2","7,756.7","8,151.5","8,693.2","8,782.3","8,700.7","8,293.3","8,047.5","7,860.0","8,099.4","8,227.0","8,715.3","8,933.0","9,223.6","9,399.4","9,780.2","9,763.0","9,985.9","10,033.0","10,181.4","9,709.0","10,031.0","9,951.8","10,212.3","10,083.9","10,109.1","10,153.4","10,046.8","9,977.9","10,167.7","10,284.8","10,462.5","10,345.0","10,207.8","10,213.7","9,939.7","9,893.9","10,098.5","10,138.3","10,473.8","10,479.4","10,951.5","11,211.8","11,067.2","11,172.3","11,157.6","11,355.1","11,447.9","11,290.8","11,658.7","11,686.8","11,933.2","11,800.6","12,006.2","11,921.9","11,917.1","12,072.9","12,296.6","12,714.3","13,059.2","13,318.7","13,451.7","13,765.6","14,040.4","14,610.6","15,028.0","15,185.3","15,610.5","15,654.8","15,856.3","16,572.7","16,749.7"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    제1차 금속","십억원","원자료","6,785.1","6,937.6","7,239.6","7,307.6","7,702.1","7,922.1","8,049.4","8,073.7","8,568.6","8,830.8","9,139.7","9,236.3","9,358.8","9,866.5","10,275.0","10,697.7","11,131.9","12,701.7","13,466.6","13,289.4","14,110.5","15,332.3","16,626.0","17,120.1","17,712.3","18,413.6","18,878.1","18,514.8","19,448.9","19,454.1","19,935.2","20,179.3","21,269.2","22,125.2","22,882.9","22,901.0","24,219.2","23,838.9","24,947.1","24,325.9","25,362.5","25,368.3","25,977.5","25,328.0","26,098.9","25,977.2","26,516.0","27,372.0","28,633.8","28,116.0","27,204.5","26,719.1","26,385.3","26,487.5","26,793.2","25,663.5","26,582.7","26,149.0","26,042.5","25,741.5","26,446.5","25,767.1","25,554.0","24,705.9","25,638.7","25,892.2","24,516.5","24,156.6","24,904.1","25,064.9","24,838.5","24,341.9","24,759.3","24,733.5","24,713.3","24,693.3","25,381.5","25,831.6","25,969.9","25,429.6","25,838.5","25,562.1","26,165.4","26,142.3","27,230.8","27,851.5","27,808.3","28,623.2","29,423.2","29,200.2","29,038.3"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    금속가공제품","십억원","원자료","6,988.2","7,335.0","7,392.5","7,367.0","7,675.9","7,917.4","8,163.0","8,191.2","8,496.5","9,138.4","9,272.4","9,537.8","10,005.5","10,280.4","10,903.0","11,496.9","12,344.7","13,398.8","14,228.0","14,377.8","15,403.0","16,441.4","17,355.2","17,729.1","18,392.9","18,816.4","19,276.1","19,122.4","19,730.1","19,988.4","20,551.6","20,322.4","21,280.1","21,824.0","22,339.2","22,132.1","22,848.9","22,974.0","23,893.7","23,315.7","24,204.7","24,938.8","25,683.2","25,235.4","26,205.9","26,904.6","27,605.8","27,703.2","28,817.5","29,079.4","30,009.2","30,187.0","30,558.2","30,733.8","31,083.5","30,489.9","31,248.0","31,631.9","32,368.9","31,878.8","32,037.2","32,260.5","32,688.4","32,527.3","33,054.5","33,456.2","33,644.4","33,697.1","34,420.4","35,367.5","35,684.1","35,648.5","36,301.4","36,733.5","37,478.6","37,299.1","37,931.5","38,484.4","38,930.5","38,955.4","39,549.7","39,517.0","39,939.2","39,784.2","40,206.5","40,850.8","41,426.4","41,127.9","42,037.6","42,402.6","42,865.8"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    전자부품, 컴퓨터, 영상, 음향 및 통신장비","십억원","원자료","10,700.1","10,878.6","11,149.1","10,471.7","10,558.0","10,848.2","10,983.7","10,643.5","10,873.8","10,981.8","11,400.8","11,590.2","11,875.0","12,109.9","12,517.1","12,643.5","12,939.6","13,367.5","13,717.9","13,997.5","14,728.0","14,847.7","15,696.1","16,104.3","16,710.6","17,270.9","17,396.1","16,774.2","17,559.3","17,705.2","17,945.0","18,108.9","19,455.8","20,401.1","21,079.4","21,526.9","22,253.1","22,262.2","22,422.1","22,047.1","21,899.0","22,399.2","22,766.0","21,906.9","22,379.0","22,682.0","22,153.5","22,640.6","22,739.6","22,851.3","22,997.0","22,040.5","22,435.5","21,908.0","21,904.1","21,175.5","21,403.4","21,652.8","21,355.3","21,240.5","21,478.8","21,772.9","22,156.7","21,592.2","21,932.7","22,180.2","21,731.2","21,741.0","22,433.4","23,245.3","23,211.4","22,614.3","22,752.3","22,793.0","22,819.3","22,796.3","23,389.0","23,749.2","24,584.4","26,014.7","27,595.9","28,251.9","29,950.7","30,464.3","31,912.1","32,305.2","32,621.6","31,416.9","31,971.0","34,804.0","34,700.4"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    의료, 정밀, 광학기기 및 시계","십억원","원자료","1,510.9","1,545.4","1,629.9","1,547.8","1,549.7","1,606.3","1,619.9","1,568.3","1,610.2","1,637.6","1,706.0","1,590.3","1,711.0","1,862.9","1,960.0","1,996.5","2,140.8","2,318.3","2,369.8","2,508.9","2,667.3","2,730.4","2,906.5","3,008.0","3,214.9","3,388.1","3,656.9","3,559.6","3,681.0","3,695.0","3,825.4","3,785.7","3,932.0","4,191.6","3,988.7","4,052.0","4,120.7","4,275.1","4,463.8","4,406.5","4,539.0","4,781.4","4,953.5","4,873.1","5,114.8","5,380.8","5,505.9","5,516.5","5,673.0","5,904.4","6,059.0","5,962.1","6,057.5","6,267.0","6,490.0","6,302.5","6,525.0","6,653.7","6,864.1","6,892.3","7,096.0","7,266.0","7,454.3","7,423.1","7,599.4","7,776.6","8,003.7","8,013.5","8,440.8","8,697.4","9,069.0","9,148.7","9,393.8","9,680.5","9,944.8","10,018.6","10,334.7","10,615.2","10,847.5","10,811.0","11,167.5","11,482.9","11,701.7","11,861.3","12,234.8","12,664.0","12,837.4","12,892.3","13,185.9","13,234.2","13,710.7"
