date,credit_spread
2004-01-01,0.79
2004-02-01,0.7999999999999998
2004-03-01,0.79
2004-04-01,0.75
2004-05-01,0.6800000000000006
2004-06-01,0.6299999999999999
2004-07-01,0.5799999999999992
2004-08-01,0.56
2004-09-01,0.5099999999999998
2004-10-01,0.46999999999999975
2004-11-01,0.43999999999999995
2004-12-01,0.4500000000000002
2005-01-01,0.4600000000000004
2005-02-01,0.4399999999999995
2005-03-01,0.4400000000000004
2005-04-01,0.4200000000000004
2005-05-01,0.41000000000000014
2005-06-01,0.3899999999999997
2005-07-01,0.39999999999999947
2005-08-01,0.41999999999999993
2005-09-01,0.40000000000000036
2005-10-01,0.39000000000000057
2005-11-01,0.40000000000000036
2005-12-01,0.4300000000000006
2006-01-01,0.4800000000000004
2006-02-01,0.45999999999999996
2006-03-01,0.3700000000000001
2006-04-01,0.29000000000000004
2006-05-01,0.2699999999999996
2006-06-01,0.28000000000000025
2006-07-01,0.29000000000000004
2006-08-01,0.33000000000000007
2006-09-01,0.3299999999999992
2006-10-01,0.3099999999999996
2006-11-01,0.33000000000000007
2006-12-01,0.35999999999999943
2007-01-01,0.35000000000000053
2007-02-01,0.3700000000000001
2007-03-01,0.41000000000000014
2007-04-01,0.39999999999999947
2007-05-01,0.39000000000000057
2007-06-01,0.39999999999999947
2007-07-01,0.40000000000000036
2007-08-01,0.41999999999999993
2007-09-01,0.45999999999999996
2007-10-01,0.5600000000000005
2007-11-01,0.6200000000000001
2007-12-01,0.8400000000000007
2008-01-01,1.1999999999999993
2008-02-01,1.21
2008-03-01,0.9799999999999995
2008-04-01,0.9299999999999997
2008-05-01,0.9399999999999995
2008-06-01,0.9799999999999995
2008-07-01,1.0300000000000002
2008-08-01,1.3400000000000007
2008-09-01,1.6500000000000004
2008-10-01,2.8600000000000003
2008-11-01,3.5900000000000007
2008-12-01,4.379999999999999
2009-01-01,3.9
2009-02-01,3.2900000000000005
2009-03-01,2.4499999999999997
2009-04-01,1.92
2009-05-01,1.33
2009-06-01,1.12
2009-07-01,1.37
2009-08-01,1.3200000000000003
2009-09-01,1.1799999999999997
2009-10-01,1.13
2009-11-01,1.1099999999999994
2009-12-01,1.1099999999999994
2010-01-01,1.1100000000000003
2010-02-01,1.13
2010-03-01,1.0799999999999996
2010-04-01,0.9200000000000004
2010-05-01,0.7800000000000002
2010-06-01,0.9000000000000004
2010-07-01,0.9299999999999997
2010-08-01,0.9499999999999997
2010-09-01,0.9300000000000002
2010-10-01,0.8899999999999997
2010-11-01,0.7900000000000005
2010-12-01,0.9199999999999999
2011-01-01,0.8099999999999996
2011-02-01,0.7799999999999998
2011-03-01,0.7999999999999998
2011-04-01,0.7999999999999998
2011-05-01,0.7800000000000002
2011-06-01,0.7500000000000004
2011-07-01,0.7100000000000004
2011-08-01,0.7200000000000002
2011-09-01,0.79
2011-10-01,0.8199999999999998
2011-11-01,0.8500000000000001
2011-12-01,0.8800000000000003
2012-01-01,0.8700000000000001
2012-02-01,0.8199999999999998
2012-03-01,0.8100000000000005
2012-04-01,0.75
2012-05-01,0.6299999999999999
2012-06-01,0.5800000000000001
2012-07-01,0.5900000000000003
2012-08-01,0.5699999999999998
2012-09-01,0.5
2012-10-01,0.52
2012-11-01,0.52
2012-12-01,0.44999999999999973
2013-01-01,0.4500000000000002
2013-02-01,0.3599999999999999
2013-03-01,0.3500000000000001
2013-04-01,0.3600000000000003
2013-05-01,0.3700000000000001
2013-06-01,0.3700000000000001
2013-07-01,0.46999999999999975
2013-08-01,0.3900000000000001
2013-09-01,0.3900000000000001
2013-10-01,0.41999999999999993
2013-11-01,0.43000000000000016
2013-12-01,0.41900000000000004
2014-01-01,0.42700000000000005
2014-02-01,0.4259999999999997
2014-03-01,0.4289999999999998
2014-04-01,0.42799999999999994
2014-05-01,0.4259999999999997
2014-06-01,0.42200000000000015
2014-07-01,0.41200000000000037
2014-08-01,0.3860000000000001
2014-09-01,0.3810000000000002
2014-10-01,0.3560000000000003
2014-11-01,0.3280000000000003
2014-12-01,0.31700000000000017
2015-01-01,0.3169999999999997
2015-02-01,0.2759999999999998
2015-03-01,0.2630000000000001
2015-04-01,0.2489999999999999
2015-05-01,0.2400000000000002
2015-06-01,0.2390000000000001
2015-07-01,0.22399999999999998
2015-08-01,0.24499999999999988
2015-09-01,0.29499999999999993
2015-10-01,0.33499999999999996
2015-11-01,0.3659999999999999
2015-12-01,0.4239999999999997
2016-01-01,0.4630000000000003
2016-02-01,0.476
2016-03-01,0.4810000000000001
2016-04-01,0.472
2016-05-01,0.45499999999999985
2016-06-01,0.45499999999999985
2016-07-01,0.43199999999999994
2016-08-01,0.40700000000000003
2016-09-01,0.3919999999999999
2016-10-01,0.41999999999999993
2016-11-01,0.4119999999999999
2016-12-01,0.47
2017-01-01,0.4610000000000001
2017-02-01,0.46499999999999986
2017-03-01,0.4990000000000001
2017-04-01,0.5169999999999999
2017-05-01,0.5260000000000002
2017-06-01,0.5350000000000001
2017-07-01,0.538
2017-08-01,0.5399999999999998
2017-09-01,0.5480000000000003
2017-10-01,0.548
2017-11-01,0.5590000000000002
2017-12-01,0.5489999999999999
2018-01-01,0.532
2018-02-01,0.5379999999999998
2018-03-01,0.56
2018-04-01,0.6019999999999999
2018-05-01,0.6099999999999999
2018-06-01,0.6300000000000003
2018-07-01,0.653
2018-08-01,0.637
2018-09-01,0.44999999999999996
2018-10-01,0.44200000000000017
2018-11-01,0.4630000000000001
2018-12-01,0.47899999999999987
2019-01-01,0.45599999999999996
2019-02-01,0.44700000000000006
