통계표,계정항목,단위,변환,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01
"1.3.2.2. 시장금리(월,분기,년)","국고채(3년)","연%","원자료","4.290","4.190","3.940","3.770","3.700","3.750","3.880","3.730","3.480","3.240","3.400","3.250","3.710","3.940","3.740","3.740","3.660","3.650","3.770","3.570","3.450","3.470","3.390","3.360","3.370","3.430","3.550","3.500","3.380","3.290","3.010","2.830","2.810","2.780","2.800","2.850","2.750","2.700","2.600","2.550","2.590","2.870","2.910","2.940","2.900","2.830","2.936","2.941","2.892","2.854","2.874","2.875","2.838","2.746","2.558","2.540","2.405","2.239","2.138","2.143","2.039","2.024","1.865","1.739","1.875","1.773","1.777","1.735","1.651","1.627","1.752","1.719","1.628","1.474","1.498","1.468","1.455","1.334","1.218","1.238","1.312","1.361","1.609","1.692","1.643","1.665","1.709","1.678","1.690","1.673","1.740","1.780","1.785","2.026","2.150","2.100","2.190","2.277","2.271","2.192","2.250","2.175","2.097","2.019","1.953","2.010","1.940","1.825","1.807","1.802","1.789","1.736","1.679","1.496","1.382","1.164","1.287","1.357","1.492","1.390","1.373","1.253","1.091","1.024","0.878","0.850","0.826","0.829","0.908","0.910","0.965","0.970","0.975","0.995","1.133","1.138","1.134","1.302","1.419","1.411","1.515","1.842","1.953","1.800","2.060","2.285","2.369","2.941","3.019","3.477","3.238","3.247","3.903","4.235","3.895","3.630","3.460","3.470","3.461","3.263","3.330","3.548","3.638","3.727","3.842","4.031","3.771","3.350","3.266","3.351","3.310","3.439","3.432","3.262","3.083","2.924","2.868","2.911","2.858","2.590","2.571","2.611","2.590","2.395","2.331","2.441","2.465","2.427","2.464","2.601","2.880","3.010","3.044"
"1.3.2.2. 시장금리(월,분기,년)","회사채(3년, AA-)","연%","원자료","5.400","5.320","5.020","4.690","4.480","4.650","4.810","4.680","4.410","4.130","4.190","4.170","4.520","4.720","4.540","4.540","4.440","4.400","4.480","4.290","4.240","4.290","4.240","4.240","4.240","4.250","4.360","4.250","4.010","3.870","3.600","3.400","3.310","3.300","3.320","3.300","3.200","3.060","2.950","2.910","2.960","3.240","3.380","3.330","3.290","3.250","3.366","3.360","3.319","3.280","3.303","3.303","3.264","3.168","2.970","2.926","2.786","2.595","2.466","2.460","2.356","2.300","2.128","1.988","2.115","2.012","2.001","1.980","1.946","1.962","2.118","2.143","2.091","1.950","1.979","1.940","1.910","1.789","1.650","1.645","1.704","1.781","2.021","2.162","2.104","2.130","2.208","2.195","2.216","2.208","2.278","2.320","2.333","2.574","2.709","2.649","2.722","2.815","2.831","2.794","2.860","2.805","2.750","2.656","2.403","2.452","2.403","2.304","2.263","2.249","2.244","2.207","2.153","2.004","1.885","1.689","1.792","1.861","2.002","1.948","1.955","1.847","1.840","2.145","2.179","2.218","2.219","2.192","2.239","2.239","2.247","2.211","2.143","2.055","2.091","1.983","1.891","1.913","1.888","1.838","1.953","2.302","2.492","2.410","2.632","2.873","3.028","3.631","3.775","4.233","4.126","4.227","4.900","5.436","5.487","5.302","4.704","4.274","4.184","4.072","4.139","4.356","4.437","4.500","4.602","4.827","4.583","4.076","4.013","4.053","3.944","3.974","3.876","3.708","3.542","3.418","3.448","3.486","3.428","3.236","3.229","3.206","3.161","2.980","2.908","2.980","2.957","2.914","2.926","3.028","3.299","3.502","3.545"
