date,M2
2024-09-01,3850393.3
2024-10-01,3856925.3
2024-11-01,3873037.6
2024-12-01,3898999.4
2025-01-01,3922757.1
2025-02-01,3926523.6
2025-03-01,3915483.4
2025-04-01,3929779.0
2025-05-01,3957728.3
2025-06-01,3979473.3
2025-07-01,3997486.9
2025-08-01,4040694.6
2025-09-01,4057516.7
2025-10-01,4059450.7
2025-11-01,4057549.3
