event_id,start_time,end_time,duration_hours,max_depeg_close,min_low,avg_volume
8,2023-03-11 23:00:00+09:00,2023-03-14 01:00:00+09:00,51,0.08720000000000006,0.882,49636543.15686274
6,2022-05-12 11:00:00+09:00,2022-05-12 22:00:00+09:00,12,0.050000000000000044,1.004,153274936.91666666
12,2023-03-14 08:00:00+09:00,2023-03-14 23:00:00+09:00,16,0.00660000000000005,0.9929,25720631.4375
14,2023-03-15 11:00:00+09:00,2023-03-15 21:00:00+09:00,11,0.00649999999999995,0.9931,40845691.45454545
