date,card_spending,log_val,12m_log_return,z_score
2005-01-01,184994.0,12.128078671102086,0.15831713998537644,0.9119414951286
2005-02-01,170907.0,12.048874827890371,0.12043491895897596,0.29426483566775957
2005-03-01,202525.0,12.218618614698691,0.13643825333907955,0.5552021791579508
2005-04-01,197053.0,12.191228007069551,0.13396864398104036,0.5149347392582734
2005-05-01,215317.0,12.279866639826578,0.18394373779739048,1.3297879386842713
2005-06-01,207768.0,12.24417735156372,0.14545052443468975,0.7021489355430248
2005-07-01,206107.0,12.236150730396883,0.10968422118472176,0.11897270896149742
2005-08-01,232280.0,12.355698819485987,0.20889328011372044,1.736594866458851
2005-09-01,210324.0,12.256404477861176,0.21302724798977835,1.803999981544958
2005-10-01,215180.0,12.2792301661479,0.1988454679241176,1.5727634199383698
2005-11-01,219827.0,12.300596152352067,0.1694140928302712,1.0928793751608246
2005-12-01,225195.0,12.324721972514515,0.17762998834456845,1.2268410795765654
2006-01-01,228802.0,12.340612279708317,0.21253360860623083,1.7959510995853856
2006-02-01,212320.0,12.265849849566035,0.21697502167566363,1.8683691657304802
2006-03-01,237939.0,12.379769617281498,0.16115100258280712,0.9581481518431608
2006-04-01,222060.0,12.310702894608257,0.11947488753870594,0.2786113448062663
2006-05-01,257142.0,12.45738374047219,0.17751710064561266,1.225000424649373
2006-06-01,248014.0,12.421240475166691,0.17706312360297183,1.2175982445349898
2006-07-01,249539.0,12.427370494583416,0.19121976418653297,1.448424902210311
2006-08-01,267732.0,12.49774175915941,0.14204293967342352,0.6465876322418865
2006-09-01,244972.0,12.40889919728147,0.15249471942029302,0.817005844916579
2006-10-01,253438.0,12.442874496162919,0.16364433001501766,0.998802319353471
2006-11-01,247106.0,12.417572673349248,0.1169765209971807,0.23787501368136774
2006-12-01,246238.0,12.414053826882476,0.08933185436796087,-0.21287641727472692
2007-01-01,267454.0,12.49670286791411,0.15609058820579236,0.8756371542513417
2007-02-01,225923.0,12.327949512235676,0.06209966266964173,-0.6569023677672415
2007-03-01,247900.0,12.420780718023282,0.041011100741783935,-1.0007552922131018
2007-04-01,253421.0,12.442807416363582,0.13210452175532517,0.4845398796642694
2007-05-01,278266.0,12.536332769730782,0.07894902925859171,-0.3821703117602651
2007-06-01,258247.0,12.461671770263878,0.04043129509718746,-1.0102091310849384
2007-07-01,286221.0,12.56451951867471,0.13714902409129337,0.5667914284673812
2007-08-01,287543.0,12.569127693253172,0.0713859340937617,-0.5054879850651377
2007-09-01,250827.0,12.432518737448857,0.02361954016738821,-1.284327921994158
2007-10-01,297053.0,12.60166585304277,0.1587913568798509,0.9196736897914934
2007-11-01,278978.0,12.538888204647844,0.1213155312985954,0.3086233836482769
2007-12-01,288555.0,12.572640988008391,0.1585871611259151,0.9163442400456808
2008-01-01,297368.0,12.602725708025977,0.10602284011186747,0.059273209596935494
2008-02-01,269792.0,12.505406570722402,0.17745705848672522,1.2240214260816131
2008-03-01,299538.0,12.60999656661951,0.18921584859622698,1.4157506858068143
2008-04-01,320722.0,12.678329983266014,0.23552256690243212,2.170790340267347
2008-05-01,321351.0,12.680289262666381,0.1439564929355992,0.6777884740789413
2008-06-01,319617.0,12.674878682949002,0.21320691268512348,1.8069294478179756
2008-07-01,349616.0,12.764590688306647,0.20007116963193816,1.5927487142497676
2008-08-01,327175.0,12.69825047492368,0.1291227816705085,0.4359220530144933
2008-09-01,331480.0,12.711322754962978,0.27880401751412087,2.8765024423063514
2008-10-01,337559.0,12.729495588831208,0.12782973578843837,0.414838699416771
2008-11-01,311302.0,12.648518781079797,0.10963057643195384,0.11809802129035478
2008-12-01,357940.0,12.788120653571399,0.21547966556300757,1.8439871061958495
2009-01-01,324953.0,12.691435835469447,0.08871012744346984,-0.22301379041208466
2009-02-01,312060.0,12.650950755995174,0.14554418527277235,0.703676092927721
2009-03-01,367339.0,12.814040406405178,0.20404383978566898,1.657523839973947
2009-04-01,359825.0,12.793373081130872,0.11504309786485756,0.20635018991600818
2009-05-01,364031.0,12.804994307827723,0.12470504516134184,0.3638900375880859
2009-06-01,390999.0,12.876460281419476,0.20158159847047408,1.6173765373832105
2009-07-01,398437.0,12.895304671866235,0.13071398355958763,0.4618668957598334
2009-08-01,394687.0,12.885848324701126,0.1875978497774451,1.3893689141387728
2009-09-01,400771.0,12.9011454708456,0.189822715882622,1.4256457697813076
2009-10-01,381242.0,12.851189623077042,0.12169403424583436,0.31479494459988294
2009-11-01,390402.0,12.874932256458772,0.22641347537897438,2.0222649087988147
2009-12-01,421880.0,12.95247619239055,0.16435553881915155,1.0103987111809303
2010-01-01,394231.0,12.884692310892891,0.19325647542344448,1.4816338577312962
2010-02-01,372257.0,12.827339754936276,0.1763889989411016,1.206606516544332
2010-03-01,446522.0,13.009243950201322,0.19520354379614346,1.51338116967883
2010-04-01,430152.0,12.971893913579542,0.17852083244867067,1.2413664583799564
2010-05-01,449978.0,13.016953971662513,0.21195966383479004,1.7865928233404025
2010-06-01,455342.0,13.028804063938589,0.15234378251911274,0.8145447906704344
2010-07-01,469052.0,13.058468915482752,0.16316424361651727,0.9909744213357796
2010-08-01,491099.0,13.104401015780098,0.21855269107897257,1.8940933587784623
2010-09-01,456405.0,13.031135852212415,0.12999038136681484,0.45006842742559955
2010-10-01,454937.0,13.027914226807942,0.17672460373090004,1.2120786150603426
2010-11-01,484083.0,13.090011658599757,0.21507940214098475,1.837460736655713
2010-12-01,488257.0,13.098597185553716,0.14612099316316574,0.7130810528597309
2011-01-01,465364.0,13.050575174043662,0.16588286315077028,1.0353020184714417
