날짜,Retail_Index,log_index,12m_log_return,z_score
2004-01-01,63.2,4.146304301152812,,
2004-02-01,56.7,4.037774210733707,,
2004-03-01,60.6,4.104294893075269,,
2004-04-01,60.7,4.1059436980654525,,
2004-05-01,61.7,4.122283930911342,,
2004-06-01,60.5,4.102643365036796,,
2004-07-01,59.9,4.092676505121403,,
2004-08-01,56.5,4.034240638152395,,
2004-09-01,63.1,4.144720769547168,,
2004-10-01,62.4,4.133565275375382,,
2004-11-01,62.9,4.141546163706395,,
2004-12-01,65.9,4.188138441508461,,
2005-01-01,60.9,4.109233174715851,-0.03707112643696053,-1.7391548138849384
2005-02-01,59.2,4.0809215418899605,0.0431473311562538,0.5247615408305638
2005-03-01,63.7,4.154184562578117,0.04988966950284812,0.7150430609426078
2005-04-01,62.4,4.133565275375382,0.027621577309929535,0.08659544905377715
2005-05-01,63.7,4.154184562578117,0.03190063166677515,0.20735844340482867
2005-06-01,62.6,4.136765278106052,0.03412191306925649,0.2700471991648034
2005-07-01,61.8,4.123903364463645,0.031226859342242008,0.18834331608088614
2005-08-01,59.9,4.092676505121403,0.05843586696900793,0.956232891746635
2005-09-01,63.9,4.157319361383489,0.01259859183632095,-0.3373815698366092
2005-10-01,65.1,4.175924549214524,0.04235927383914184,0.5025210752046839
2005-11-01,67.7,4.215086179918229,0.07354001621183404,1.3825005054708646
2005-12-01,73.6,4.298645025734831,0.1105065842263695,2.4257668610793903
2006-01-01,67.4,4.210645017918261,0.10141184320240981,2.1690960952257967
2006-02-01,59.8,4.091005660956586,0.010084119066625874,-0.40834473963060186
2006-03-01,66.1,4.191168746857641,0.036984184279523546,0.3508258977208706
2006-04-01,65.4,4.180522258463153,0.046956983087770965,0.6322771123374482
2006-05-01,67.2,4.207673247529104,0.053488684950986354,0.8166140731307443
2006-06-01,65.8,4.186619838331271,0.04985456022521895,0.7140522108289096
2006-07-01,61.4,4.117409835153096,-0.006493529310549029,-0.8761972814249713
2006-08-01,62.4,4.133565275375382,0.040888770253978635,0.46102068718924083
2006-09-01,67.3,4.209160236650682,0.051840875267193276,0.7701097721939822
2006-10-01,67.7,4.215086179918229,0.039161630703705264,0.41227754761695096
2006-11-01,69.7,4.244200317766478,0.029114137848249122,0.1287183259387912
2006-12-01,74.9,4.316153890523174,0.01750886478834346,-0.19880439476086623
2007-01-01,67.6,4.213607983048918,0.0029629651306573024,-0.6093171510155055
2007-02-01,66.1,4.191168746857641,0.1001630859010545,2.1338538060765244
2007-03-01,70.3,4.252771798816619,0.061603051958978305,1.0456168329533269
2007-04-01,67.9,4.21803603456465,0.03751377610149742,0.365771978997702
2007-05-01,70.9,4.2612704335380815,0.05359718600897789,0.8196761778764701
2007-06-01,68.4,4.225372824628505,0.03875298629723378,0.4007448307980221
2007-07-01,67.0,4.204692619390966,0.08728278423786939,1.770347370477585
2007-08-01,66.1,4.191168746857641,0.05760347148225886,0.9327411192471098
2007-09-01,71.8,4.273884476054178,0.06472423940349614,1.1337026365673613
2007-10-01,72.3,4.280824129164719,0.06573794924648979,1.162311442587131
2007-11-01,72.7,4.286341384539473,0.04214106677299512,0.49636285974423305
2007-12-01,75.4,4.32280727501391,0.006653384490736158,-0.5051665478287899
2008-01-01,71.2,4.26549281841793,0.05188483536901156,0.7713504092798515
2008-02-01,68.4,4.225372824628505,0.034204077770864316,0.27236604220082317
2008-03-01,73.5,4.297285406218791,0.04451360740217147,0.5633204365136187
2008-04-01,72.3,4.280824129164719,0.06278809460006851,1.0790609740736157
2008-05-01,73.3,4.294560608892605,0.03329017535452383,0.24657399023369267
2008-06-01,67.9,4.21803603456465,-0.007336790063854792,-0.8999956922642757
2008-07-01,69.8,4.2456340097683265,0.040941390377360776,0.46250572643689214
2008-08-01,67.7,4.215086179918229,0.023917433060588245,-0.01794249642547479
2008-09-01,70.5,4.255612709818223,-0.018271766235955056,-1.2086013690273278
2008-10-01,69.9,4.247065649239764,-0.03375847992495462,-1.645665673842487
2008-11-01,69.4,4.239886867512759,-0.04645451702671455,-2.003971815559932
2008-12-01,71.8,4.273884476054178,-0.04892279895973228,-2.0736313927178993
2009-01-01,69.1,4.235554730773624,-0.02993808764430561,-1.537846989401442
2009-02-01,64.5,4.1666652238017265,-0.058707600826778616,-2.3497769786476246
2009-03-01,69.9,4.247065649239764,-0.050219756979026364,-2.1102339971477764
2009-04-01,69.2,4.237000862623624,-0.043823266541094696,-1.9297129581040169
2009-05-01,74.6,4.312140507209715,0.017579898317110043,-0.19679969444210282
2009-06-01,73.1,4.291828366755733,0.07379233219108272,1.389621338869006
2009-07-01,70.6,4.257030144499196,0.011396134730869534,-0.3713171800259729
2009-08-01,67.9,4.21803603456465,0.0029498546464212794,-0.6096871536379779
2009-09-01,75.3,4.321480134805848,0.06586742498762455,1.1659654924989393
2009-10-01,76.9,4.3425058765115985,0.09544022727183421,2.0005658170962244
2009-11-01,76.2,4.333361462692601,0.09347459517984191,1.945091967636528
2009-12-01,81.0,4.394449154672439,0.12056467861826103,2.709625278135289
2010-01-01,73.3,4.294560608892605,0.05900587811898106,0.9723196827859021
2010-02-01,72.1,4.278054044290903,0.11138882048917687,2.450665234396676
2010-03-01,76.0,4.330733340286331,0.0836676910465668,1.6683226140167613
2010-04-01,74.6,4.312140507209715,0.07513964458609124,1.4276450388688013
2010-05-01,77.7,4.3528552573736015,0.04071475016388604,0.45610951163401525
2010-06-01,76.2,4.333361462692601,0.0415330959368676,0.4792047746800849
2010-07-01,77.3,4.3476939555933765,0.09066381109418042,1.865766332963126
