날짜,종가,시가,고가,저가,거래량,변동 %,log_price,12m_log_return,z_score
2004-01-01,1171.5,"1,193.50","1,197.70","1,168.50",,-1.76%,7.066040257947851,,
2004-02-01,1178.5,"1,172.20","1,186.20","1,152.50",,0.60%,7.071997722376186,,
2004-03-01,1143.0,"1,177.00","1,183.00","1,143.00",,-3.01%,7.04141166379481,,
2004-04-01,1173.35,"1,144.95","1,179.45","1,139.25",,2.66%,7.067618184368604,,
2004-05-01,1160.05,"1,174.25","1,192.05","1,159.45",,-1.13%,7.05621838661976,,
2004-06-01,1154.5,"1,158.50","1,167.30","1,145.50",,-0.48%,7.05142262879455,,
2004-07-01,1166.5,"1,152.50","1,175.30","1,146.50",,1.04%,7.061763091461485,,
2004-08-01,1151.85,"1,165.15","1,169.35","1,150.65",,-1.26%,7.049124624444662,,
2004-09-01,1151.5,"1,150.50","1,157.50","1,143.50",,-0.03%,7.04882071926074,,
2004-10-01,1119.5,"1,152.80","1,154.60","1,114.50",,-2.78%,7.020637436038809,,
2004-11-01,1048.5,"1,119.00","1,122.50","1,043.60",,-6.34%,6.955115850341975,,
2004-12-01,1035.2,"1,048.60","1,069.40","1,034.70",,-1.27%,6.942349923746636,,
2005-01-01,1026.5,"1,035.50","1,059.50","1,023.50",,-0.84%,6.933910236458988,-0.13213002148886233,1.437991743692216
2005-02-01,1004.5,"1,027.50","1,044.50",998.40,,-2.14%,6.9122451842549895,-0.1597525381211966,1.7163990484998797
2005-03-01,1017.5,"1,002.50","1,026.80",989.40,,1.29%,6.92510391731675,-0.11630774647806064,1.2785190569593023
2005-04-01,997.1,"1,016.90","1,025.20",996.90,,-2.00%,6.904851065834747,-0.16276711853385706,1.746783000077714
2005-05-01,1007.5,999.30,"1,010.70",994.50,,1.04%,6.915227293820838,-0.14099109279892197,1.5273024684888996
2005-06-01,1035.5,"1,009.00","1,035.50","1,003.40",,2.78%,6.942639680835639,-0.10878294795891108,1.202676623671207
2005-07-01,1023.3,"1,034.00","1,057.80","1,016.40",,-1.18%,6.9307879780927095,-0.1309751133687751,1.4263514264360546
2005-08-01,1038.5,"1,027.50","1,040.50","1,010.50",,1.49%,6.945532643316167,-0.10359198112849555,1.150356876566403
2005-09-01,1043.5,"1,032.10","1,044.50","1,021.10",,0.48%,6.950335726517255,-0.09848499274348477,1.0988835480902228
2005-10-01,1043.4,"1,048.10","1,063.20","1,036.10",,-0.01%,6.950239890588293,-0.07039754545051657,0.8157902078328417
2005-11-01,1037.5,"1,042.10","1,052.10","1,030.30",,-0.57%,6.944569252104853,-0.010546598237121785,0.2125525982530641
