날짜,Production_Index,log_val,12m_log_return,z_score
2004-01-01,64.9,4.1728476237100445,,
2004-02-01,65.6,4.183575695950044,,
2004-03-01,65.2,4.177459468932607,,
2004-04-01,65.8,4.186619838331271,,
2004-05-01,65.7,4.185098925490565,,
2004-06-01,64.9,4.1728476237100445,,
2004-07-01,64.8,4.1713056033582285,,
2004-08-01,65.0,4.174387269895637,,
2004-09-01,65.6,4.183575695950044,,
2004-10-01,65.4,4.180522258463153,,
2004-11-01,65.3,4.178992036282385,,
2004-12-01,64.8,4.1713056033582285,,
2005-01-01,66.9,4.203198967134183,0.030351343424138477,0.12546446086423022
2005-02-01,66.4,4.1956970564823886,0.012121360532344916,-0.4781113281817122
2005-03-01,67.6,4.213607983048918,0.03614851411631115,0.31740275809309165
2005-04-01,67.2,4.207673247529104,0.021053409197832273,-0.1823804790049318
2005-05-01,67.3,4.209160236650682,0.024061311160116894,-0.08279197082942245
2005-06-01,67.7,4.215086179918229,0.04223855620818462,0.5190377230156444
2005-07-01,68.0,4.219507705176107,0.04820210181787843,0.7164845208677006
2005-08-01,68.4,4.225372824628505,0.050985554732868366,0.8086417543335402
2005-09-01,68.6,4.22829253473184,0.04471683878179622,0.6010910836098443
2005-10-01,69.2,4.237000862623624,0.056478604160471235,0.9905109125336975
2005-11-01,70.8,4.259859000699674,0.08086696441728858,1.7979841763825468
2005-12-01,69.6,4.242764567340374,0.07145896398214546,1.486495058719014
2006-01-01,70.8,4.259859000699674,0.056660033565490764,0.9965178515934205
2006-02-01,70.5,4.255612709818223,0.059915653335834484,1.104308038966737
2006-03-01,71.0,4.2626798770413155,0.049071893992397086,0.745282435882608
2006-04-01,71.7,4.272490747605575,0.06481750007647147,1.2666030905761443
2006-05-01,72.0,4.276666119016055,0.06750588236537336,1.3556126344090982
2006-06-01,70.5,4.255612709818223,0.040526529899993946,0.4623543110800926
2006-07-01,69.2,4.237000862623624,0.017493157447517227,-0.3002567146631641
2006-08-01,72.7,4.286341384539473,0.06096855991096817,1.139168681494496
2006-09-01,73.0,4.290459441148391,0.06216690641655109,1.1788446889790263
2006-10-01,74.9,4.316153890523174,0.07915302789955003,1.7412375193939444
2006-11-01,74.6,4.312140507209715,0.05228150651004171,0.8515493709295497
2006-12-01,73.2,4.293195420967266,0.05043085362689226,0.7902761771571128
2007-01-01,73.6,4.298645025734831,0.038786025035157046,0.4047280037287489
2007-02-01,75.6,4.3254562831854875,0.06984357336726443,1.4330111541656454
2007-03-01,74.2,4.3067641501733345,0.044084273132019014,0.5801474923045826
2007-04-01,75.0,4.31748811353631,0.044997365930735,0.6103790459888849
2007-05-01,75.5,4.324132656254979,0.04746653723892358,0.692130742053307
2007-06-01,75.4,4.32280727501391,0.06719456519568734,1.3453052464399422
2007-07-01,76.5,4.33729074083249,0.1002898782088657,2.4410566678328713
2007-08-01,78.1,4.35799005684564,0.0716486723061669,1.4927761041834813
2007-09-01,76.6,4.338597076746545,0.048137635598154205,0.7143501113255846
2007-10-01,79.0,4.3694478524670215,0.05329396194384728,0.8850707182045459
2007-11-01,78.9,4.368181227851829,0.056040720642113406,0.976013044287095
2007-12-01,79.0,4.3694478524670215,0.07625243149975525,1.6452017868811033
2008-01-01,79.8,4.379523504455763,0.08087847872093246,1.7983654030105924
2008-02-01,79.7,4.378269585796169,0.052813302610681845,0.869156587182063
2008-03-01,79.3,4.373238128640803,0.06647397846746816,1.321447368698504
2008-04-01,79.9,4.380775852772229,0.06328773923591857,1.215954298864774
2008-05-01,79.7,4.378269585796169,0.054136929541190426,0.91298049934513
2008-06-01,78.0,4.356708826689592,0.03390155167568132,0.2430081667152654
2008-07-01,79.2,4.37197629882038,0.03468555798789019,0.268965800977308
2008-08-01,79.4,4.37449836825309,0.016508311407450016,-0.33286394360301835
2008-09-01,78.6,4.364371699435161,0.025774622688615523,-0.0260660065850683
2008-10-01,78.4,4.361823927356363,-0.007623925110658902,-1.1318572166256597
2008-11-01,75.1,4.318820558770089,-0.04936066908173942,-2.513717436905601
2008-12-01,71.8,4.273884476054178,-0.0955633764128434,-4.043441063030528
2009-01-01,73.7,4.300002799195291,-0.07952070526047184,-3.512284892634112
2009-02-01,76.2,4.333361462692601,-0.04490812310356862,-2.366298266630484
2009-03-01,75.9,4.3294166844015844,-0.04382144423921819,-2.3303194587027423
2009-04-01,78.6,4.364371699435161,-0.016404153337068017,-1.4225614488355531
2009-05-01,77.9,4.355425952876702,-0.022843632919467005,-1.6357659259358226
2009-06-01,79.8,4.379523504455763,0.02281467776617152,-0.12406670700815571
2009-07-01,79.8,4.379523504455763,0.007547205635383136,-0.629556843382656
2009-08-01,80.2,4.384523514872469,0.010025146619378589,-0.5475147924656687
2009-09-01,82.6,4.414009680526933,0.04963798109177198,0.7640249914682052
2009-10-01,81.1,4.395682961121367,0.033859033765004654,0.24160044287714785
2009-11-01,81.4,4.399375273008495,0.08055471423840554,1.7876458974484561
2009-12-01,82.3,4.410371107683024,0.13648663162884578,3.6394935580946166
2010-01-01,81.9,4.405498990859024,0.10549619166373247,2.613432295950236
2010-02-01,84.2,4.4331949212482815,0.09983345855568082,2.425945087424798
2010-03-01,84.6,4.437934266612178,0.10851758221059349,2.713467397143804
2010-04-01,84.1,4.432006566978902,0.0676348675437417,1.359883199624162
2010-05-01,85.4,4.447346100794524,0.09192014791782199,2.163943595675654
2010-06-01,85.4,4.447346100794524,0.06782259633876109,1.3660987049404878
2010-07-01,84.7,4.439115601658009,0.059592097202245675,1.093595431621426
2010-08-01,84.3,4.4343818650078095,0.04985835013534068,0.771321181494426
2010-09-01,84.2,4.4331949212482815,0.019185240721348862,-0.24423359587054472
2010-10-01,84.8,4.440295542797857,0.04461258167648996,0.5976392391965838
2010-11-01,85.1,4.443827035579329,0.04445176257083361,0.5923146857306619
2010-12-01,86.1,4.455509411433685,0.045138303750660747,0.6150453507447929
2011-01-01,88.2,4.4796069630127455,0.07410797215372167,1.5742009664446877
2011-02-01,84.7,4.439115601658009,0.005920680409727375,-0.6834094033277476
2011-03-01,87.8,4.475061500641071,0.037127234028893064,0.34980715731814693
2011-04-01,86.8,4.463606621666305,0.031600054687402235,0.1668079931367844
2011-05-01,87.1,4.467056883858457,0.019710783063932702,-0.2268334350484033
2011-06-01,88.0,4.477336814478207,0.029990713683682557,0.11352438492224451
2011-07-01,87.3,4.469350462845557,0.030234861187548034,0.1216078550584419
2011-08-01,87.8,4.475061500641071,0.04067963563326149,0.46742348280191665
2011-09-01,87.7,4.473921899378137,0.040726978129855596,0.4689909436660766
2011-10-01,88.6,4.484131857611035,0.04383631481317796,0.5719378500447224
2011-11-01,87.5,4.471638793363569,0.0278117577842405,0.041381419451109125
2011-12-01,86.9,4.464758032271346,0.009248620837661647,-0.5732247541368509
2012-01-01,87.5,4.471638793363569,-0.00796816964917646,-1.1432547955588812
2012-02-01,89.7,4.49647076906475,0.05735516740674118,1.0195330106978282
2012-03-01,88.4,4.481871969643598,0.006810469002527242,-0.653949427683721
2012-04-01,88.2,4.4796069630127455,0.016000341346440905,-0.3496823044432421
2012-05-01,89.3,4.492001487882454,0.024944604023996675,-0.05354706201961301
2012-06-01,88.2,4.4796069630127455,0.002270148534538663,-0.8042747201019209
2012-07-01,88.7,4.485259889315534,0.015909426469977284,-0.35269240152469616
2012-08-01,87.7,4.473921899378137,-0.001139601262933887,-0.9171679925023678
2012-09-01,88.5,4.483002552013883,0.009080652635746311,-0.578786006750605
2012-10-01,88.7,4.485259889315534,0.001128031704499044,-0.8420890214627924
2012-11-01,89.2,4.490881039585964,0.019242246222394677,-0.24234620297073153
2012-12-01,89.1,4.489759334476764,0.02500130220541763,-0.051669844153214
2013-01-01,89.7,4.49647076906475,0.02483197570118101,-0.057276068745285194
2013-02-01,90.5,4.505349850705881,0.008879081641130604,-0.5854598129108246
2013-03-01,89.0,4.48863636973214,0.0067644000885414,-0.6554747215512217
2013-04-01,90.3,4.5031374604229395,0.023530497410193973,-0.10036666247054231
2013-05-01,90.1,4.500920164614292,0.008918676731838104,-0.5841488606045071
2013-06-01,89.6,4.4953553199808844,0.01574835696813892,-0.35802524534799396
2013-07-01,89.5,4.4942386252808095,0.00897873596527532,-0.5821603617986372
2013-08-01,90.3,4.5031374604229395,0.029215561044802385,0.08785988658342497
2013-09-01,89.6,4.4953553199808844,0.012352767967001022,-0.4704496684976249
2013-10-01,91.1,4.511957804265912,0.0266979149503781,0.004503240721478779
2013-11-01,90.7,4.507557357121091,0.01667631753512744,-0.327301435306694
2013-12-01,90.2,4.502029427068578,0.012270092591814219,-0.4731869642542494
2014-01-01,92.0,4.5217885770490405,0.025317807984290397,-0.04119066672586011
2014-02-01,91.5,4.516338972281476,0.010989121575595284,-0.5155985834229856
2014-03-01,91.6,4.517431271680085,0.028794901947945206,0.07393230103318175
2014-04-01,91.8,4.519612297626445,0.016474837203505288,-0.3339722397094135
2014-05-01,90.8,4.508659285607248,0.007739120992956039,-0.6232027253308369
2014-06-01,91.9,4.520701029361642,0.02534570938075742,-0.04026688048381992
2014-07-01,92.3,4.525044141508807,0.03080551622799721,0.14050165042602866
2014-08-01,91.4,4.515245478460105,0.012108018037165102,-0.4785530843316657
2014-09-01,90.5,4.505349850705881,0.009994530724996231,-0.5485284529127938
