,USD_KRW,KOSPI,Foreign_Net_Buy_Sum
2023-02-01,1318.3499755859375,2412.85,422826524109.0
2023-03-01,1296.5,2453.16,-414008781994.0
2023-04-01,1339.3900146484375,2495.81,510740714979.0
2023-05-01,1321.739990234375,2577.12,3059129925472.0
2023-06-01,1323.0699462890625,2550.02,-1972027712152.0
2023-07-01,1277.9300537109375,2632.58,-2341325759937.0
2023-08-01,1324.6400146484375,2556.27,-206537597579.0
2023-09-01,1352.8199462890625,2465.07,-991113194717.0
2023-10-01,1348.0699462890625,2277.99,-2271798677325.0
2023-11-01,1288.3599853515625,2535.29,2934376831853.0
2023-12-01,1294.760009765625,2655.28,3043898560349.0
2024-01-01,1326.6199951171875,2497.09,3499999335207.0
2024-02-01,1333.3800048828125,2642.36,7791167759982.0
2024-03-01,1349.800048828125,2746.63,4419575853879.0
2024-04-01,1385.4599609375,2692.06,3358273845937.0
2024-05-01,1375.6199951171875,2635.44,317585830471.0
2024-06-01,1386.949951171875,2784.06,3898836468978.0
2024-07-01,1367.9200439453125,2770.69,1407260585333.0
2024-08-01,1332.8800048828125,2662.28,-2540307364128.0
2024-09-01,1315.3299560546875,2593.27,-6915433098370.0
2024-10-01,1378.5699462890625,2556.15,-3282315258981.0
2024-11-01,1393.300048828125,2455.91,-4300836035930.0
2024-12-01,1472.800048828125,2399.49,-3036634054995.0
2025-01-01,1441.6600341796875,2517.37,-934589399997.0
2025-02-01,1449.8599853515625,2532.78,-3706465771775.0
2025-03-01,1471.9599609375,2481.12,-1661139856802.0
2025-04-01,1423.75,2556.61,-7015849292032.0
2025-05-01,1370.4100341796875,2720.64,1739449751038.0
2025-06-01,1348.5,3071.7,2857295398623.0
2025-07-01,1391.510009765625,3245.44,5320185366116.0
2025-08-01,1384.4100341796875,3196.32,-612172163326.0
2025-09-01,1403.1500244140625,3424.6,7017679696017.0
2025-10-01,1424.02001953125,4107.5,3258176547525.0
2025-11-01,1461.4000244140625,3926.59,-14425651856763.0
2025-12-01,1434.7099609375,4214.17,4122768013133.0
2026-01-01,1428.760009765625,5224.36,149352227267.0
2026-02-01,1470.6800537109375,5089.14,-11088284514431.0
