date,fin_index,real_index,gap,top_regime,bottom_regime
2005-01-01,0.6893178485804459,-1.0563381171005082,1.745655965680954,True,False
2005-02-01,0.8638006218639953,-0.5010010379677606,1.3648016598317558,True,False
2005-03-01,0.6426906196787655,-0.2042139036138936,0.8469045232926591,False,False
2005-04-01,0.7270106902695636,-0.569748754414782,1.2967594446843456,True,False
2005-05-01,0.8409805079842396,0.0679794015596516,0.7730011064245881,False,False
2005-06-01,0.8171080942988654,0.3149393951602505,0.502168699138615,False,False
2005-07-01,1.128220408162847,-0.1156462898912963,1.2438666980541433,True,False
2005-08-01,0.8293369990452888,0.5327624331988156,0.29657456584647324,False,False
2005-09-01,0.929294068716954,0.2082137581276875,0.7210803105892665,False,False
2005-10-01,0.7337409566564203,0.4957579775861347,0.23798297907028554,False,False
2005-11-01,0.6152231491849703,0.8905776815019517,-0.27535453231698137,False,False
2005-12-01,0.7277531770535136,1.2515381482034926,-0.523784971149979,False,False
2006-01-01,0.7999983033251329,1.04976221460256,-0.24976391127742714,False,False
2006-02-01,0.5230651869335315,0.1172210287528858,0.40584415818064573,False,False
2006-03-01,0.6713614577955672,0.2553428736349319,0.4160185841606353,False,False
2006-04-01,0.8989283323143072,0.2909534414887088,0.6079748908255984,False,False
2006-05-01,0.7060534592260019,0.5425549747836499,0.16349848444235204,False,False
2006-06-01,0.6811795518929876,0.0592282216714915,0.6219513302214961,False,False
2006-07-01,0.4631743913804431,-0.3635728398223835,0.8267472312028266,False,False
2006-08-01,0.5901477849286425,0.2370703153294791,0.3530774695991634,False,False
2006-09-01,0.4761675921669448,0.6041809087953162,-0.12801331662837134,False,False
2006-10-01,0.5733335990485015,0.6513583225836098,-0.07802472353510836,False,False
2006-11-01,0.4890462429149929,0.0500017807632148,0.43904446215177806,False,False
2006-12-01,0.2907382208656215,-0.1931452249215776,0.4838834457871991,False,False
2007-01-01,0.0066978653365592,0.1836627390732053,-0.1769648737366461,False,False
2007-02-01,0.1246327849153266,1.278322652745889,-1.1536898678305625,False,False
2007-03-01,0.117583750632176,0.2645730740709612,-0.14698932343878518,False,False
2007-04-01,0.0451448371275823,0.990284233863348,-0.9451393967357656,False,False
2007-05-01,0.3416811056331759,0.7098028061056749,-0.36812170047249904,False,False
2007-06-01,0.4351011137913979,0.3451334314656384,0.08996768232575947,False,False
2007-07-01,0.6445680181168786,1.822819805992646,-1.1782517878757672,False,False
2007-08-01,0.4885129478090886,0.8922424054680566,-0.40372945765896795,False,False
2007-09-01,0.5393594017037382,0.2940846033413598,0.24527479836237842,False,False
2007-10-01,0.6213429081508083,1.3662593105634109,-0.7449164024126026,False,False
2007-11-01,0.2698623527506771,0.776978438321172,-0.5071160855704948,False,False
2007-12-01,0.1110565861756756,0.9273954203575204,-0.8163388341818448,False,False
2008-01-01,-0.2314033976116762,1.2425308032323024,-1.4739342008439786,False,True
2008-02-01,-0.1904863249259876,0.9077501825801636,-1.0982365075061513,False,False
2008-03-01,-0.281365483006519,1.6462104921365694,-1.9275759751430885,False,True
2008-04-01,-0.3248268991292433,1.2161861620647427,-1.541013061193986,False,True
2008-05-01,-0.5660657693533763,0.6721167928315576,-1.2381825621849338,False,True
2008-06-01,-0.873421072528283,0.5597055333416675,-1.4331266058699506,False,True
2008-07-01,-1.0380602533772303,0.8891474826488649,-1.9272077360260953,False,True
2008-08-01,-1.4407574399396894,0.0534292596890078,-1.4941866996286972,False,True
2008-09-01,-2.099631264818608,0.7946972830631873,-2.8943285478817953,False,True
2008-10-01,-3.450641739238359,-0.8558062733972894,-2.5948354658410695,False,True
2008-11-01,-4.09917320003076,-1.6413867965362716,-2.457786403494489,False,True
2008-12-01,-3.750152339808304,-1.7359959949695554,-2.0141563448387485,False,True
2009-01-01,-3.286670813015545,-2.290711877506554,-0.9959589355089911,False,False
2009-02-01,-3.567569741016083,-1.9156076493024703,-1.6519620917136126,False,True
2009-03-01,-2.494302617407552,-1.4715734462020358,-1.0227291712055162,False,False
2009-04-01,-1.8679260859185227,-1.45602474400052,-0.41190134191800265,False,False
2009-05-01,-1.4172145392200637,-1.1111919419408065,-0.3060225972792572,False,False
2009-06-01,-1.1024051491644602,0.386449132521429,-1.4888542816858892,False,True
2009-07-01,-0.9252577374063976,-0.8157118296241395,-0.10954590778225815,False,False
2009-08-01,-0.4035421009194669,-0.5046220046043545,0.10107990368488756,False,False
2009-09-01,0.4842955436768059,0.3691578910558071,0.11513765262099879,False,False
2009-10-01,1.6411396386763013,0.2989181501004196,1.3422214885758816,True,False
2009-11-01,2.576549165561232,1.6232469600207526,0.9533022055404792,False,False
2009-12-01,2.521998999820513,2.1258041002065364,0.3961948996139766,False,False
2010-01-01,2.464778138045205,1.1030734427048905,1.3617046953403145,True,False
2010-02-01,2.627144361110461,1.5559176408609845,1.0712267202494765,True,False
2010-03-01,1.8250611126270548,1.6260260876969126,0.19903502493014225,False,False
2010-04-01,1.3043855548064676,0.894776529457214,0.4096090253492536,False,False
2010-05-01,0.6211921169865348,1.073619369988368,-0.4524272530018333,False,False
2010-06-01,0.500225337282155,0.3828044323540127,0.11742090492814233,False,False
2010-07-01,0.4579887752096125,0.9032779630716464,-0.4452891878620339,False,False
2010-08-01,0.397880004942332,1.249473715721389,-0.8515937107790571,False,False
2010-09-01,0.3391847229905,-0.0458432268843769,0.38502794987487693,False,False
2010-10-01,0.5110997902560298,0.3781203770825296,0.1329794131735002,False,False
2010-11-01,0.4347851053309906,0.8388460969194272,-0.40406099158843667,False,False
