q,thr_gap,H,X,P_high,P_low,diff_P,mean_dd_high,mean_dd_low
0.9,0.9783455437867415,3,0.8,0.125,0.05803571428571429,0.06696428571428571,-0.18466685676879627,-0.17466697695466246
0.9,0.9783455437867415,3,1.0,0.08333333333333333,0.026785714285714284,0.05654761904761904,-0.18466685676879627,-0.17466697695466246
0.95,1.1620673404168333,3,1.0,0.08333333333333333,0.029661016949152543,0.05367231638418078,-0.009540447551259768,-0.18408017809186605
0.9,0.9783455437867415,12,1.0,0.20833333333333334,0.16744186046511628,0.040891472868217066,-0.6039347203954859,-0.658228728024504
0.85,0.834235235336894,3,1.0,0.05555555555555555,0.02830188679245283,0.02725366876310272,-0.14691142054135228,-0.1805122465132397
0.85,0.834235235336894,3,0.8,0.08333333333333333,0.06132075471698113,0.022012578616352196,-0.14691142054135228,-0.1805122465132397
0.95,1.1620673404168333,3,0.8,0.08333333333333333,0.0635593220338983,0.019774011299435026,-0.009540447551259768,-0.18408017809186605
0.9,0.9783455437867415,3,1.2,0.041666666666666664,0.022321428571428572,0.019345238095238092,-0.18466685676879627,-0.17466697695466246
0.85,0.834235235336894,6,1.2,0.08333333333333333,0.07177033492822966,0.011562998405103664,-0.3799962840624419,-0.36334029131402157
0.9,0.9783455437867415,6,1.2,0.08333333333333333,0.07239819004524888,0.010935143288084453,-0.37416347561959457,-0.36487811627153005
0.95,1.1620673404168333,6,1.2,0.08333333333333333,0.07296137339055794,0.010371959942775386,-0.21080720031207978,-0.3737695309319033
0.85,0.834235235336894,3,1.2,0.027777777777777776,0.02358490566037736,0.004192872117400416,-0.14691142054135228,-0.1805122465132397
0.9,0.9783455437867415,12,1.2,0.16666666666666666,0.16279069767441862,0.003875968992248041,-0.6039347203954859,-0.658228728024504
0.95,1.1620673404168333,12,1.2,0.16666666666666666,0.16299559471365638,0.0036710719530102798,-0.5028738003089148,-0.6607009877138902
0.9,0.9783455437867415,12,0.8,0.25,0.24651162790697675,0.0034883720930232454,-0.6039347203954859,-0.658228728024504
0.95,1.1620673404168333,12,1.0,0.16666666666666666,0.17180616740088106,-0.005139500734214403,-0.5028738003089148,-0.6607009877138902
0.85,0.834235235336894,12,1.0,0.16666666666666666,0.1724137931034483,-0.00574712643678163,-0.5731156566979323,-0.6669036757321894
0.95,1.1620673404168333,6,1.0,0.08333333333333333,0.09871244635193133,-0.015379113018597998,-0.21080720031207978,-0.3737695309319033
0.9,0.9783455437867415,6,1.0,0.08333333333333333,0.09954751131221719,-0.01621417797888386,-0.37416347561959457,-0.36487811627153005
0.85,0.834235235336894,6,1.0,0.08333333333333333,0.10047846889952153,-0.0171451355661882,-0.3799962840624419,-0.36334029131402157
0.95,1.1620673404168333,3,1.2,0.0,0.025423728813559324,-0.025423728813559324,-0.009540447551259768,-0.18408017809186605
0.85,0.834235235336894,12,1.2,0.1388888888888889,0.16748768472906403,-0.028598795840175134,-0.5731156566979323,-0.6669036757321894
0.85,0.834235235336894,12,0.8,0.2222222222222222,0.2512315270935961,-0.029009304871373875,-0.5731156566979323,-0.6669036757321894
0.9,0.9783455437867415,6,0.8,0.125,0.16289592760180996,-0.03789592760180996,-0.37416347561959457,-0.36487811627153005
0.85,0.834235235336894,6,0.8,0.1111111111111111,0.1674641148325359,-0.056353003721424794,-0.3799962840624419,-0.36334029131402157
0.95,1.1620673404168333,6,0.8,0.08333333333333333,0.1630901287553648,-0.07975679542203147,-0.21080720031207978,-0.3737695309319033
0.95,1.1620673404168333,12,0.8,0.16666666666666666,0.2511013215859031,-0.08443465491923643,-0.5028738003089148,-0.6607009877138902
