,forecast_gap,lower_95,upper_95,P_top10,P_bottom10
2025-12-01,0.798644084168177,-0.33843438502406076,1.9357225533604148,0.37837609592228527,0.00022334193205286734
2026-01-01,0.717741677569743,-0.5314858936067158,1.966969248746202,0.3413167942283193,0.001074856951239267
2026-02-01,0.6446327342182195,-0.6892016338215053,1.9784671022579445,0.3119379790972385,0.002831793643453595
2026-03-01,0.5785664968501987,-0.8205693927791382,1.9777023864795356,0.2877308375748371,0.005464313184291858
2026-04-01,0.5188645298968393,-0.9314183471475908,1.9691474069412693,0.26731329227338985,0.00878550940259809
2026-05-01,0.464913752614867,-1.0258355362713532,1.9556630415010872,0.2498267913155523,0.01257316251908025
2026-06-01,0.41616014334764,-1.106837372471271,1.9391576591665511,0.23469153166575585,0.016627390692317945
2026-07-01,0.37210305026520746,-1.1767309456291455,1.9209370461595603,0.22149128358650572,0.02078859042003517
2026-08-01,0.3322900501602302,-1.2373270269616283,1.9019071272820887,0.2099131730762014,0.02493762860168497
2026-09-01,0.29631230250463303,-1.290074635319638,1.882699240328904,0.1997135840586337,0.028989816271244584
2026-10-01,0.26380035105769817,-1.336150758680581,1.863751460795977,0.1906975891509446,0.03288768037631695
2026-11-01,0.23442032991222767,-1.3765227936871043,1.8453634535115595,0.18270587638262858,0.03659440560967647
