q,episode_id,start,end,duration,peak_date,peak_gap,peak_fin,dd_H3,trough_H3,crash_H3_X0.8,crash_H3_X1.0,crash_H3_X1.2,dd_H6,trough_H6,crash_H6_X0.8,crash_H6_X1.0,crash_H6_X1.2,dd_H12,trough_H12,crash_H12_X0.8,crash_H12_X1.0,crash_H12_X1.2
0.9,13,2023-07-01,2023-08-01,2,2023-07-01,1.0642990987936671,0.1493197032352752,-0.02616677820787798,2023-08-01,0.0,0.0,0.0,-0.18776291400639758,2024-01-01,0.0,0.0,0.0,-0.20142027237783178,2024-07-01,0.0,0.0,0.0
0.9,14,2023-12-01,2023-12-01,1,2023-12-01,1.0237436830892757,0.5984439390857679,-0.6368871498568903,2024-01-01,0.0,0.0,0.0,-0.6368871498568903,2024-01-01,0.0,0.0,0.0,-1.243607098578361,2024-12-01,1.0,1.0,1.0
0.9,15,2024-03-01,2024-03-01,1,2024-03-01,0.995911626257432,0.0375647185251764,-0.0434809744177899,2024-05-01,0.0,0.0,0.0,-0.08966528766773299,2024-07-01,0.0,0.0,0.0,-0.6827278780177694,2024-12-01,0.0,0.0,0.0
0.9,16,2024-06-01,2024-06-01,1,2024-06-01,1.0410974465025449,0.0860344092736172,-0.1381349784161738,2024-07-01,0.0,0.0,0.0,-0.7311975687662101,2024-12-01,0.0,0.0,0.0,-0.7311975687662101,2024-12-01,0.0,0.0,0.0
0.9,17,2024-09-01,2024-09-01,1,2024-09-01,1.061267362325373,0.1858191231683464,-0.8309822826609393,2024-12-01,1.0,0.0,0.0,-0.8309822826609393,2024-12-01,1.0,0.0,0.0,-0.8309822826609393,2024-12-01,1.0,0.0,0.0
0.9,18,2025-10-01,2025-11-01,2,2025-10-01,1.479528423260504,0.6361170690005314,,,,,,,,,,,,,,,
0.95,1,2005-01-01,2005-02-01,2,2005-01-01,1.745655965680954,0.6893178485804459,-0.04662722890168036,2005-03-01,0.0,0.0,0.0,-0.04662722890168036,2005-03-01,0.0,0.0,0.0,-0.07409469939547553,2005-11-01,0.0,0.0,0.0
0.95,2,2005-04-01,2005-04-01,1,2005-04-01,1.2967594446843456,0.7270106902695636,0.09009740402930189,2005-06-01,0.0,0.0,0.0,0.006730266386856698,2005-10-01,0.0,0.0,0.0,-0.203945503336032,2006-02-01,0.0,0.0,0.0
0.95,3,2005-07-01,2005-07-01,1,2005-07-01,1.2438666980541433,1.128220408162847,-0.3944794515064268,2005-10-01,0.0,0.0,0.0,-0.5129972589778767,2005-11-01,0.0,0.0,0.0,-0.6650460167824039,2006-07-01,0.0,0.0,0.0
0.95,4,2009-10-01,2009-10-01,1,2009-10-01,1.3422214885758816,1.6411396386763013,0.8236384993689037,2010-01-01,0.0,0.0,0.0,-0.33675408386983374,2010-04-01,0.0,0.0,0.0,-1.3019549156858012,2010-09-01,1.0,1.0,1.0
0.95,5,2010-01-01,2010-01-01,1,2010-01-01,1.3617046953403145,2.464778138045205,-1.1603925832387374,2010-04-01,1.0,1.0,0.0,-2.0067893628355926,2010-07-01,1.0,1.0,1.0,-2.125593415054705,2010-09-01,1.0,1.0,1.0
0.95,6,2017-10-01,2017-10-01,1,2017-10-01,1.38366950322451,0.3016234613038864,0.17255820955225448,2017-11-01,0.0,0.0,0.0,-0.033968515628098106,2018-03-01,0.0,0.0,0.0,-0.7508854369115789,2018-10-01,0.0,0.0,0.0
0.95,7,2020-03-01,2020-04-01,2,2020-03-01,1.4529123592925743,-0.787654277883216,0.03491474205793177,2020-04-01,0.0,0.0,0.0,0.03491474205793177,2020-04-01,0.0,0.0,0.0,0.03491474205793177,2020-04-01,0.0,0.0,0.0
0.95,8,2020-11-01,2021-01-01,3,2020-12-01,1.9086007267038672,0.2190843036679041,0.18226011940270037,2021-01-01,0.0,0.0,0.0,0.18226011940270037,2021-01-01,0.0,0.0,0.0,-0.2221312024859908,2021-12-01,0.0,0.0,0.0
0.95,9,2025-10-01,2025-10-01,1,2025-10-01,1.479528423260504,0.6361170690005314,,,,,,,,,,,,,,,
