date,open,high,low,close,volume
2022-01-01 09:00:00+09:00,0.9999,1.0,0.9999,0.9999,2373259.0
2022-01-01 10:00:00+09:00,0.9999,1.0,0.9999,0.9999,4955001.0
2022-01-01 11:00:00+09:00,0.9999,1.0,0.9999,0.9999,1720917.0
2022-01-01 12:00:00+09:00,1.0,1.0,0.9999,0.9999,3142564.0
2022-01-01 13:00:00+09:00,0.9999,1.0,0.9999,0.9999,957481.0
2022-01-01 14:00:00+09:00,1.0,1.0,0.9999,1.0,1795140.0
2022-01-01 15:00:00+09:00,0.9999,1.0,0.9999,0.9999,1163222.0
2022-01-01 16:00:00+09:00,1.0,1.0,0.9999,1.0,591195.0
2022-01-01 17:00:00+09:00,0.9999,1.0,0.9999,0.9999,1131459.0
2022-01-01 18:00:00+09:00,1.0,1.0,0.9999,0.9999,1699962.0
2022-01-01 19:00:00+09:00,0.9999,1.0,0.9999,0.9999,2201333.0
2022-01-01 20:00:00+09:00,0.9999,1.0,0.9999,1.0,1355921.0
2022-01-01 21:00:00+09:00,1.0,1.0,0.9999,0.9999,4952658.0
2022-01-01 22:00:00+09:00,1.0,1.0,0.9999,1.0,1449850.0
2022-01-01 23:00:00+09:00,0.9999,1.0,0.9999,1.0,3617199.0
2022-01-02 00:00:00+09:00,1.0,1.0,0.9999,0.9999,2586973.0
2022-01-02 01:00:00+09:00,0.9999,1.0,0.9999,0.9999,2297050.0
2022-01-02 02:00:00+09:00,0.9999,1.0,0.9999,1.0,2875955.0
2022-01-02 03:00:00+09:00,0.9999,1.0,0.9999,0.9999,2585616.0
2022-01-02 04:00:00+09:00,0.9999,1.0,0.9999,0.9999,1714740.0
2022-01-02 05:00:00+09:00,0.9999,1.0,0.9999,0.9999,3780368.0
2022-01-02 06:00:00+09:00,1.0,1.0,0.9999,1.0,1779636.0
2022-01-02 07:00:00+09:00,1.0,1.0,0.9999,0.9999,1175422.0
2022-01-02 08:00:00+09:00,0.9999,1.0,0.9998,0.9998,2350596.0
2022-01-02 09:00:00+09:00,0.9999,0.9999,0.9998,0.9998,1038196.0
2022-01-02 10:00:00+09:00,0.9998,0.9999,0.9998,0.9999,844341.0
2022-01-02 11:00:00+09:00,0.9998,0.9999,0.9998,0.9999,966167.0
2022-01-02 12:00:00+09:00,0.9999,0.9999,0.9998,0.9999,1432606.0
2022-01-02 13:00:00+09:00,0.9999,0.9999,0.9998,0.9998,1001522.0
2022-01-02 14:00:00+09:00,0.9998,0.9999,0.9998,0.9999,1255446.0
2022-01-02 15:00:00+09:00,0.9999,0.9999,0.9998,0.9999,814070.0
2022-01-02 16:00:00+09:00,0.9999,0.9999,0.9998,0.9999,1249586.0
2022-01-02 17:00:00+09:00,0.9999,0.9999,0.9998,0.9998,2259048.0
2022-01-02 18:00:00+09:00,0.9999,0.9999,0.9998,0.9998,1377750.0
2022-01-02 19:00:00+09:00,0.9999,0.9999,0.9998,0.9999,1247308.0
2022-01-02 20:00:00+09:00,0.9998,0.9999,0.9998,0.9999,1582707.0
2022-01-02 21:00:00+09:00,0.9998,0.9999,0.9998,0.9998,1879994.0
2022-01-02 22:00:00+09:00,0.9999,0.9999,0.9998,0.9999,2455390.0
2022-01-02 23:00:00+09:00,0.9999,0.9999,0.9998,0.9999,1706305.0
2022-01-03 00:00:00+09:00,0.9999,0.9999,0.9998,0.9998,3555748.0
2022-01-03 01:00:00+09:00,0.9998,0.9999,0.9998,0.9999,1663228.0
2022-01-03 02:00:00+09:00,0.9998,0.9999,0.9998,0.9999,2474208.0
2022-01-03 03:00:00+09:00,0.9998,0.9999,0.9998,0.9999,2210284.0
2022-01-03 04:00:00+09:00,0.9998,0.9999,0.9998,0.9998,1742694.0
2022-01-03 05:00:00+09:00,0.9999,0.9999,0.9998,0.9998,1543366.0
2022-01-03 06:00:00+09:00,0.9999,0.9999,0.9998,0.9999,1953068.0
2022-01-03 07:00:00+09:00,0.9999,0.9999,0.9998,0.9999,1347973.0
2022-01-03 08:00:00+09:00,0.9999,0.9999,0.9998,0.9998,2306518.0
