,date,retail,card,production,card_num,real_index
0,2004-01-01,-0.7396175100687935,-6.231685375391111,0.3690947943379497,-3.1746250591771834,-1.6912259776716636
1,2004-01-01,-0.4923148160627885,-6.231685375391111,0.3690947943379497,-3.1746250591771834,-1.6087917463363286
2,2004-02-01,0.0426393980959809,-6.36156225053432,1.042980685487741,-2.568854364204041,-1.126529407928486
3,2004-03-01,-0.4147929219635864,-5.116077371739826,0.5213991830893474,-1.5498976444531265,-1.0754604156569052
4,2004-04-01,-0.2837745977641126,-4.604019556008572,0.7709503011837141,-1.711970282171959,-0.8902730718902213
5,2004-05-01,-0.5181440346114102,-4.047316211396348,0.7207227481395103,-1.5315181807597729,-0.8622794941833201
6,2004-06-01,0.199663517499699,-3.4844224748392616,-0.1567858998832693,-0.7958913758291359,-0.6990931025725896
7,2004-07-01,-0.2546044579649988,-3.035504961026839,0.0541830787560338,-0.7506593797046339,-0.6978345165249005
8,2004-08-01,-0.6338996249952299,-2.3074579638095707,-0.2620847033237917,0.48951089664371,-0.601652620633984
9,2004-09-01,-0.2146481527569022,-3.0701023782463746,0.0413594814370747,-0.984419243568058,-0.7335164940756812
10,2004-11-01,-0.3662327257584854,-0.8617250886755212,-0.4201066011694624,1.630872921490685,-0.13392180350678864
11,2004-12-01,0.1190649723082407,-1.3992411845806152,-0.6739480489407209,-0.8247082392871584,-0.5556192628554557
12,2005-01-01,-1.052667501592219,-0.6290081506040899,0.0211853358385291,0.9405347190575742,-0.29190629384231587
13,2005-01-01,0.2021741256990679,-0.6290081506040899,0.0211853358385291,0.9405347190575742,0.12637424858811305
14,2005-02-01,0.2146238568192206,-0.6260868592681532,-0.5808527351052705,0.2218849312502181,-0.1894432807650058
15,2005-03-01,0.3211393319166605,-0.6752505429841301,0.212634635663088,0.5760581294830563,0.16139258694307054
16,2005-04-01,-0.030652034448156,-0.6589580064700078,-0.28587531356491,0.4994604175410201,-0.13209204749251996
17,2005-05-01,0.0369484751016807,0.2131182680193901,-0.1865405250623334,1.2929144736637626,0.2011414402936412
18,2005-06-01,0.0720402832767954,0.2524565140257024,0.4137558991728051,0.6843141580792843,0.31806050616736464
19,2005-07-01,0.0263042185298632,-0.4726282138857293,0.6106996657224508,0.1479487351409426,0.15822138162664023
20,2005-08-01,0.4561521771032802,0.0864105057559303,0.7026221120269832,1.677017050136029,0.6801626890254143
21,2005-09-01,-0.267985189927017,0.3581661408597789,0.4956002140428104,1.7657731905052056,0.4298615632660952
22,2005-11-01,0.6947675579755419,-0.0898581315752789,1.6894440059514153,0.9347944490146382,0.9355599075488789
23,2005-12-01,1.2787654756681446,0.0910159510735849,1.3787484629533089,1.1572828210527584,1.093887774894875
24,2006-01-01,1.1350867382246927,0.163818154114865,0.8900195610690927,1.7467223941701475,0.9934588578120972
25,2006-01-01,0.1516577528541577,0.163818154114865,0.8900195610690927,1.7467223941701475,0.6656491960219189
26,2006-02-01,-0.3077088359257278,-0.0051396812949146,0.9975351335135708,1.893371923925992,0.5446474729677939
27,2006-03-01,0.1172584497565773,0.0021861218086467,0.6394242128587485,0.9620501456069344,0.4129335987743721
28,2006-04-01,0.2748087458861421,-0.3563329520868066,1.1594167092293504,0.3837285122310714,0.48264107839587495
29,2006-05-01,0.3779965853849779,-0.108306011084121,1.2481994852076297,1.2113109149498416,0.7258995075084892
30,2006-06-01,0.3205846754763042,-0.34227016064581,0.3572168984449365,1.210332884359263,0.3706109785926557
31,2006-07-01,-0.569602559159747,0.2163966012773129,-0.4034512382685385,1.394249903586273,-0.05591018166549753
32,2006-08-01,0.1789431070295191,-0.2857349636107584,1.0323069622717251,0.6942830094449092,0.4718413640727732
33,2006-09-01,0.3519644846037943,0.1019557104907057,1.0718818879765737,0.8726025958899192,0.6370418419235602
34,2006-11-01,-0.0070725599871768,-0.2554869172987632,0.745420413736682,0.3376063975713606,0.2598025312952679
35,2006-12-01,-0.1904126877094483,-0.4309729327860586,0.684303324468352,-0.1237688761731503,0.07217324409309973
36,2007-01-01,-0.4202088404849524,0.5614709411706934,0.2997374044972813,0.963402178989614,0.2139883746974942
37,2007-01-01,0.5715104879746783,0.5614709411706934,0.2997374044972813,0.963402178989614,0.5445614841840378
38,2007-02-01,1.115358867803825,0.3103446705074495,1.3254008182859358,-0.4983251495911067,0.7822564821826442
39,2007-03-01,0.5061873721033322,-0.2564053142538366,0.4747099803109612,-0.8123844548415995,0.1488341559555251
40,2007-04-01,0.1256249424517651,1.1998156188864937,0.504864513663766,0.5653013839164093,0.5043493191723275
41,2007-05-01,0.3797106853227808,0.4903915838128253,0.5864079325487508,-0.2152842681496794,0.36789075856770154
42,2007-06-01,0.1452019876783849,-0.1938675561005266,1.2379183571669758,-0.8407883267762045,0.28859746780233175
43,2007-07-01,0.911875835578736,0.8198113020565322,2.330878154331922,0.6697232351589645,1.329173752839469
44,2007-08-01,0.4430019914878064,0.3016421055257988,1.3850135063224531,-0.3497523047185898,0.6013201327379547
45,2007-09-01,0.5554958977855105,-0.3253096588384236,0.6085706939733175,-1.1870227140237497,0.13596680177591378
46,2007-11-01,0.198726890018293,0.6145229558833626,0.8695669934548624,0.406706029101247,0.5263027919884867
47,2007-12-01,-0.3619075878273867,1.0181963642392,1.5370508571224586,0.9103908517674412,0.7131456257661308
49,2008-01-01,-1.0003343051672102,0.7687185689218641,1.6898242613359191,0.1612035169555593,0.3848169997024735
48,2008-01-01,0.3526589663829342,0.7687185689218641,1.6898242613359191,0.1612035169555593,0.835814756885855
